Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae,n_data_points,n_non_zero_data_points,max_over_K,min_over_K,range_over_k,length_trimmed_series_years,n_data_points_beyond_max,n_data_points_beyond_min,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,autocorr_l1,all_values_less_than_or_equal_to_1,all_values_less_than_or_equal_to_100,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin, GN scoring ,GN comments,CW scoring,Category_letters
eat_usa_3.5Mar_d273_m163,eating less meat,US,3.5,Market Formation,Partial up to max TotalFundraisingAmount (meat substitutes),Partial up to max $ million,b1,0.34074,0.34067,10.997,2050.2,12.897,3.9594e+07,9.5928e-08,1951.4,-21901,0.58608,0.55159,166.86,62.527,0.58608,0.56371,166.86,62.535,0.23957,0.19846,226.17,146.02,40,12,2.9823e-05,6.2257e-08,2.9761e-05,26,0,8,0,1,1,0.41513,0,0,m,y,y,m,m,m,m,m,m,m,m,,,,b
eat_usa_3.5Mar_d274_m160,eating less meat,US,3.5,Market Formation,cumulative TotalFundraisingDeals (meat substitutes),cumulative # deals,b1,0.41237,0.21529,2.9622,2021,10.657,301.14,0.040854,1983.5,-5900.9,0.99195,0.99136,5.1064,4.2501,0.97777,0.97671,8.4863,5.1805,0.45682,0.43095,41.95,31.452,45,44,0.7372,0.0033207,0.73388,44,0,43,0,0,0,0.85052,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
eat_usa_3.5Mar_d275_m161,eating less meat,US,3.5,Market Formation,Partial up to max TotalFundraisingDeals (meat substitutes),Partial up to max # deals,b1,0.34628,0.041424,0.42444,2054.2,12.69,4.1376e+06,1546.5,1.583e+05,-845.42,0.9399,0.93516,2.1676,0.91173,-0.17198,-0.23208,9.5718,3.6667,0.33856,0.30464,7.1908,4.6707,42,19,1.1601e-05,2.4169e-07,1.1359e-05,41,0,40,0,0,1,0.56887,0,1,y,y,y,m,m,m,m,m,y,m,m,,,,b
eat_usa_4.1Kso_d213_m100,eating less meat,US,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b1,0.56165,0.015828,0.9812,2007.3,7.8242,55.364,5.073,1875.2,-1930.4,0.22319,0.086103,23.622,18.097,0.036412,-0.070653,26.309,20.977,0.049144,-0.056507,26.135,20.879,21,20,1.8062,0.028489,1.7777,21,6,0,1,0,1,0.92908,0,1,n,y,y,y,m,m,y,y,m,n,m,,,,b
eat_usa_4.1Kso_d239_m153,eating less meat,US,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,b1,0.10363,0.10362,4.7409,2105,42.407,7.3432e+05,0.096143,1952.1,-9486.3,0.65312,0.55852,15.203,13.061,0.65312,0.59531,15.203,13.061,0.62964,0.56792,15.709,13.081,15,14,0.00013618,2.5776e-05,0.00011041,15,0,11,0,1,1,0.82235,0,1,m,y,y,y,y,y,y,m,y,m,y,,,,b
eat_usa_4.5Inf_d120_m103,eating less meat,US,4.5,Physical Infrastructure Dependence,Meat supply/person,Kg/year,b1,0.041017,0.0024167,0.28669,1926.3,107.14,125.51,34.656,1490.8,-454.66,0.61265,0.58844,3.5473,3.004,0.5642,0.54641,3.7626,3.0648,0.56992,0.55236,3.7378,3.0493,52,52,1.0114,0.8365,0.17489,52,1,48,0,0,0,0.98003,0,0,m,y,y,y,y,y,y,m,y,m,y,,,,b
ebi_chi_1.1Ado_d086_m015,e-bikes,China,1.1,Adoption over time,E-bike sales volumes,# million,b8,0.54491,0.074769,3.0129,2016,8.0645,46.449,0.50064,1961.5,-6045.8,0.76508,0.41271,2.9832,2.4456,0.67148,0.45246,3.5278,2.5902,0.69886,0.4981,3.3776,2.4617,6,6,1.0248,0.65663,0.36814,6,2,5,1,0,0,0.83327,0,1,y,y,y,y,y,y,y,y,y,y,y,2,,,b
ebi_chi_1.1Ado_d196_m015,e-bikes,China,1.1,Adoption over time,Total e-bike manufacturing volumes,# million,b8,0.014458,0.014454,0.4675,2577.2,303.94,1.0438e+05,5.815,1899.7,-911.24,0.80733,0.61467,0.45889,0.3717,0.80734,0.711,0.45889,0.37169,0.79985,0.69977,0.46773,0.38388,7,7,0.00032928,0.00029824,3.1041e-05,7,0,5,0,1,0,0.85151,0,1,y,y,y,y,y,y,y,m,y,m,y,2,,,b
ebi_chi_3.5Mar_d074_m128,e-bikes,China,3.5,Market Formation,CumulativeStartups,cum. # companies,b8,0.26996,0.10522,1.5157,2015.1,16.278,75.857,1.4566,1985.8,-3017.6,0.98432,0.98317,2.8679,1.8888,0.94403,0.94137,5.4184,4.0777,0.73862,0.72618,11.71,10.619,45,28,0.88324,0.013183,0.87006,28,1,27,0,0,0,0.93269,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_chi_3.5Mar_d126_m008,e-bikes,China,3.5,Market Formation,NewStartups,# companies,b8,0.75521,0.010668,0.10329,2010.1,5.8188,4.0026,1553.3,1.5764e+05,-205.31,0.36399,0.31745,2.0703,1.1415,-0.32896,-0.39224,2.9926,1.4889,0.26705,0.23215,2.2224,1.301,45,22,2.998,0.24984,2.7482,27,7,26,1,0,1,0.78412,0,1,m,y,y,m,m,m,y,y,m,m,m,,,,b
ebi_chi_3.5Mar_d171_m011,e-bikes,China,3.5,Market Formation,PrivateEquityDeals,# deals,b8,2.8919,0.041641,0.28788,2014.5,1.5195,12.745,-3.5222,4501.6,-573.42,0.78377,0.76795,2.7076,1.0657,-0.24996,-0.30949,6.5098,2.9111,0.41229,0.38431,4.4638,3.2406,45,14,2.0401,0.078465,1.9616,17,7,16,1,0,1,0.84636,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_chi_3.5Mar_d175_m027,e-bikes,China,3.5,Market Formation,PrivateEquityInvestment,$ million,b8,0.020345,0.12031,2.901,3578.6,216,2341.2,0.42111,1974.4,-5780.1,-0.061464,-0.13913,115.16,27.712,0.16593,0.12622,102.08,35.767,0.11361,0.071401,105.24,43.019,45,12,0.32058,0.00041601,0.32016,17,3,10,1,1,1,0.17134,0,0,n,y,y,m,m,m,m,y,m,n,m,,,,b
ebi_chi_3.5Mar_d200_m027,e-bikes,China,3.5,Market Formation,TotalFundraisingAmount,$ million,b8,79.674,0.089813,5.1534,2014.1,0.055155,217.2,0.13475,1940.4,-10262,0.35696,0.30991,116.1,49.013,0.24625,0.21036,125.7,66.352,0.21369,0.17625,128.39,74.694,45,15,3.5624,0.0044842,3.5579,22,3,10,1,1,1,0.33282,0,0,m,y,y,m,m,m,m,y,m,m,m,,,,b
ebi_chi_3.5Mar_d204_m011,e-bikes,China,3.5,Market Formation,TotalFundraisingDeals,# deals,b8,2.9412,0.026456,0.35072,2014.6,1.4941,15.4,0.12629,2937.4,-698.55,0.78292,0.76703,3.2271,1.4078,-0.27015,-0.33063,7.806,3.6,0.43248,0.40545,5.2179,3.7376,45,16,2.013,0.064936,1.9481,22,7,21,1,0,1,0.84354,0,1,y,y,y,m,y,m,y,y,y,m,m,,,,b
ebi_chi_3.5Mar_d242_m156,e-bikes,China,3.5,Market Formation,cumulative CumulativeStartups,cumulative cum. # companies,b8,0.19815,0.14067,12.792,2023.1,22.177,1395.4,0.0061816,1940.2,-25478,0.99921,0.99916,5.7739,4.5151,0.99363,0.99332,16.434,13.048,0.65113,0.63452,121.6,101.22,45,28,0.54249,0.00071663,0.54178,28,0,27,0,0,1,0.88643,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_chi_3.5Mar_d243_m157,e-bikes,China,3.5,Market Formation,Partial up to max CumulativeStartups,Partial up to max cum. # companies,b8,0.26011,0.11328,1.4623,2015.4,16.894,78.505,3.8176,1996.2,-2911.1,0.98288,0.9816,2.8607,1.8768,0.95197,0.94963,4.7913,3.4728,0.72136,0.70777,11.541,10.384,44,27,0.85345,0.012738,0.84071,27,0,26,0,0,0,0.92321,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_chi_3.5Mar_d244_m158,e-bikes,China,3.5,Market Formation,cumulative NewStartups,cumulative # companies,b8,0.26996,0.10522,1.5157,2015.1,16.278,75.857,1.4566,1985.8,-3017.6,0.98432,0.98317,2.8679,1.8888,0.94403,0.94137,5.4184,4.0777,0.73862,0.72618,11.71,10.619,45,28,0.88324,0.013183,0.87006,28,1,27,0,0,0,0.93269,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_chi_3.5Mar_d245_m159,e-bikes,China,3.5,Market Formation,Partial up to max NewStartups,Partial up to max # companies,b8,0.48465,0.015943,0.15695,2017.4,9.0672,37.679,1552,1.5775e+05,-312.25,0.86985,0.85802,0.99261,0.54309,-0.23167,-0.30412,3.0536,1.3243,0.37092,0.33392,2.1823,1.466,37,15,0.31848,0.02654,0.29194,20,0,19,0,0,1,0.66087,0,1,y,y,y,m,m,m,m,y,y,m,m,,,,b
ebi_chi_3.5Mar_d246_m160,e-bikes,China,3.5,Market Formation,cumulative PrivateEquityDeals,cumulative # deals,b8,0.49366,0.1846,2.0258,2018.4,8.9017,135.71,1.7739,1999.9,-4037.3,0.99247,0.99192,3.2613,1.5035,0.95095,0.94862,8.3225,5.4448,0.49018,0.4659,26.832,22.007,45,17,0.96532,0.0073689,0.95795,17,0,16,0,0,1,0.87898,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_chi_3.5Mar_d247_m161,e-bikes,China,3.5,Market Formation,Partial up to max PrivateEquityDeals,Partial up to max # deals,b8,0.97182,0.61238,0.21589,2016.4,4.5219,40.346,0.8747,2011.4,-429.95,0.98898,0.98801,0.51863,0.23249,0.98262,0.98163,0.65125,0.29586,0.22962,0.1856,4.3363,2.676,38,7,0.64443,0.024786,0.61964,10,0,9,0,0,1,0.56466,0,1,y,y,y,m,m,m,m,y,m,m,m,,,,b
ebi_chi_3.5Mar_d248_m162,e-bikes,China,3.5,Market Formation,cumulative PrivateEquityInvestment,cumulative $ million,b8,0.72252,0.23598,16.779,2020.1,6.0821,1410.3,0.00012141,1954.8,-33443,0.96574,0.96323,64.148,29.071,0.92554,0.92199,94.57,43.78,0.39534,0.36655,269.49,197.98,45,17,0.88423,0.021768,0.86247,17,0,16,0,0,1,0.83166,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_chi_3.5Mar_d249_m163,e-bikes,China,3.5,Market Formation,Partial up to max PrivateEquityInvestment,Partial up to max $ million,b8,2.7523,2.7515,3.5364,2023.9,1.5967,2.016e+06,1.3775e-13,2007.8,-7047.1,0.95296,0.94925,25.045,8.5962,0.95296,0.95055,25.045,8.5966,0.13779,0.09357,107.23,47.095,42,9,0.00037229,4.8311e-07,0.0003718,14,0,7,0,1,1,0.083481,0,0,y,y,y,m,y,m,m,m,m,m,m,,,,b
ebi_chi_3.5Mar_d250_m162,e-bikes,China,3.5,Market Formation,cumulative TotalFundraisingAmount,cumulative $ million,b8,0.36189,0.16767,41.621,2019,12.143,2991.8,7.2869e-05,1919.6,-82935,0.98734,0.98642,82.7,43.142,0.95944,0.95751,148.05,94.64,0.5407,0.51883,498.19,408.89,45,22,0.82393,0.0018283,0.8221,22,0,21,0,0,1,0.88529,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_chi_3.5Mar_d251_m163,e-bikes,China,3.5,Market Formation,Partial up to max TotalFundraisingAmount,Partial up to max $ million,b8,0.28266,0.28262,6.0962,2059.9,15.547,3.0003e+07,0.00024792,1969.6,-12142,0.5135,0.4751,103.59,46.852,0.51351,0.48856,103.59,46.854,0.24753,0.20894,128.83,78.014,42,12,2.5789e-05,3.2462e-08,2.5756e-05,19,0,7,0,1,1,0.20387,0,0,m,y,y,m,m,m,m,m,m,m,m,,,,b
ebi_chi_3.5Mar_d252_m160,e-bikes,China,3.5,Market Formation,cumulative TotalFundraisingDeals,cumulative # deals,b8,0.4422,0.17703,2.5578,2018.5,9.9377,172.7,0.20205,1985.4,-5097.1,0.99368,0.99322,3.6797,1.7384,0.95886,0.9569,9.3884,6.2614,0.51511,0.49202,32.23,26.664,45,22,0.93802,0.0057902,0.93223,22,0,21,0,0,1,0.88077,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_chi_3.5Mar_d253_m161,e-bikes,China,3.5,Market Formation,Partial up to max TotalFundraisingDeals,Partial up to max # deals,b8,1.08,0.053191,0.26907,2016.2,4.069,43.355,-2.8581,6398.4,-535.81,0.9796,0.9778,0.84657,0.36176,-0.10506,-0.16821,6.2302,1.9211,0.24785,0.20487,5.14,3.1596,38,9,0.71502,0.023065,0.69195,15,0,14,0,0,1,0.5722,0,1,y,y,y,m,m,m,m,y,m,m,m,,,,b
ebi_chi_4.1Kso_d213_m100,e-bikes,China,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b8,0.0072518,0.0072058,0.073318,2853.5,605.98,2429.5,8.7069,2077.7,-142.16,0.00023709,-0.17619,21.253,9.4013,0.00023684,-0.11085,21.253,9.4015,0.00043624,-0.11063,21.251,9.3694,21,3,0.04116,0.0026941,0.038466,12,10,0,0,0,1,0.088899,0,1,n,m,y,m,m,m,m,m,m,n,m,,,,b
ebi_chi_4.1Kso_d239_m153,e-bikes,China,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,b8,14.539,2.4238,4.8727,2013.2,0.30226,100,0.28821,2011.6,-9779.4,1,1,1.4475e-06,4.4976e-07,0.99993,0.99991,0.24133,0.091642,0.29017,0.11271,24.1,17.177,11,2,1,0.09,0.91,2,0,1,0,0,1,0.089277,0,1,y,n,y,m,y,m,m,y,m,n,n,,,,b
ebi_eun_1.1Ado_d086_m022,e-bikes,EU,1.1,Adoption over time,E-bike sales volumes,# thousands,b8,0.40594,0.051256,0.54167,2018.8,10.825,6.1685,1539.5,1.5907e+05,-1090.4,0.99713,0.99541,0.075224,0.065785,-5.1391,-7.1854,3.4781,3.1822,0.99265,0.9902,0.12036,0.10605,9,9,0.83651,0.1767,0.6598,9,0,8,0,0,0,0.86151,0,1,y,y,y,y,y,y,y,y,y,y,y,1,,,b
ebi_glo_3.3Leg_d235_m020,e-bikes,Global,3.3,Risk & Uncertainty (Shared Expectations),scientific publications,# publications,b8,0.30655,0.14312,3.653,2018.2,14.335,339.47,0.034021,1959.8,-7252.2,0.99489,0.99459,5.6999,3.1097,0.97088,0.96976,13.609,8.4665,0.52879,0.51067,54.74,44.221,55,44,0.86311,0.0029458,0.86016,55,0,54,0,0,1,0.89457,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_glo_3.5Mar_d074_m128,e-bikes,Global,3.5,Market Formation,CumulativeStartups,cum. # companies,b8,0.1616,0.098076,13.915,2019.2,27.193,1017.6,0.035426,1922.3,-27685,0.99199,0.9914,18.41,15.045,0.97931,0.97832,29.589,19.733,0.77189,0.76103,98.242,85.618,45,45,0.63387,0.00098274,0.63289,45,0,44,0,0,0,0.93275,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_glo_3.5Mar_d126_m008,e-bikes,Global,3.5,Market Formation,NewStartups,# companies,b8,0.42147,0.054347,0.92701,2008.2,10.426,35.569,3.4878,1979.2,-1841.5,0.66269,0.63801,9.7277,6.2256,0.4762,0.45126,12.122,8.322,0.51667,0.49365,11.644,8.4967,45,45,1.6588,0.028115,1.6306,45,6,44,1,0,1,0.95821,0,1,m,y,y,y,m,m,y,y,y,m,m,,,,b
ebi_glo_3.5Mar_d171_m011,e-bikes,Global,3.5,Market Formation,PrivateEquityDeals,# deals,b8,0.72232,0.1202,1.8768,2015.7,6.0838,91.301,0.8618,1983.9,-3739,0.86142,0.85129,12.877,4.789,0.71011,0.6963,18.624,11.187,0.49654,0.47257,24.544,19.171,45,21,1.4458,0.010953,1.4348,21,2,20,0,0,1,0.93314,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_glo_3.5Mar_d175_m027,e-bikes,Global,3.5,Market Formation,PrivateEquityInvestment,$ million,b8,78.343,0.12189,16.235,2017,0.056092,909.86,0.0094668,1929.7,-32347,0.56714,0.53547,283.53,92.862,0.35341,0.32262,346.53,161.62,0.23936,0.20314,375.86,226.92,45,21,2.6959,0.00062812,2.6952,21,3,13,1,1,1,0.61024,0,0,m,y,y,m,y,m,m,y,m,m,m,,,,b
ebi_glo_3.5Mar_d200_m027,e-bikes,Global,3.5,Market Formation,TotalFundraisingAmount,$ million,b8,24.576,0.1165,30.281,2016.1,0.17881,1473.4,0.0046975,1914.2,-60325,0.48616,0.44856,560.88,185.51,0.35624,0.32559,627.79,267.57,0.25262,0.21703,676.43,364.91,45,24,3.2483,0.0026461,3.2457,26,3,20,1,1,1,0.49884,0,0,m,y,y,m,y,m,m,y,m,m,m,,,,b
ebi_glo_3.5Mar_d204_m011,e-bikes,Global,3.5,Market Formation,TotalFundraisingDeals,# deals,b8,0.56981,0.1224,2.8012,2016,7.7121,140.94,0.33777,1973.5,-5579.8,0.85438,0.84372,19.346,7.893,0.74457,0.73241,25.622,13.936,0.51492,0.49182,35.309,26.915,45,32,1.5112,0.007095,1.5041,38,2,37,0,0,1,0.92117,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_glo_3.5Mar_d242_m156,e-bikes,Global,3.5,Market Formation,cumulative CumulativeStartups,cumulative cum. # companies,b8,0.12504,0.11345,139.2,2035.6,35.144,41540,0.00067729,1880.4,-2.7705e+05,0.99947,0.99943,48.42,41.789,0.99898,0.99894,67.034,49.119,0.73913,0.72671,1074,885.23,45,45,0.18775,2.4073e-05,0.18772,45,0,44,0,0,1,0.89984,0,0,y,y,y,y,y,y,y,m,y,m,y,,,,b
ebi_glo_3.5Mar_d243_m157,e-bikes,Global,3.5,Market Formation,Partial up to max CumulativeStartups,Partial up to max cum. # companies,b8,0.1616,0.098076,13.915,2019.2,27.193,1017.6,0.035426,1922.3,-27685,0.99199,0.9914,18.41,15.045,0.97931,0.97832,29.589,19.733,0.77189,0.76103,98.242,85.618,45,45,0.63387,0.00098274,0.63289,45,0,44,0,0,0,0.93275,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_glo_3.5Mar_d244_m158,e-bikes,Global,3.5,Market Formation,cumulative NewStartups,cumulative # companies,b8,0.1616,0.098076,13.915,2019.2,27.193,1017.6,0.035426,1922.3,-27685,0.99199,0.9914,18.41,15.045,0.97931,0.97832,29.589,19.733,0.77189,0.76103,98.242,85.618,45,45,0.63387,0.00098274,0.63289,45,0,44,0,0,0,0.93275,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_glo_3.5Mar_d245_m159,e-bikes,Global,3.5,Market Formation,Partial up to max NewStartups,Partial up to max # companies,b8,0.13548,0.13547,1.1036,2089.4,32.437,9.4332e+05,5.279,2000.2,-2193.9,0.95686,0.95316,3.1897,2.3534,0.95686,0.95447,3.1897,2.3534,0.65415,0.63494,9.0316,7.2953,39,39,6.2545e-05,1.0601e-06,6.1485e-05,39,0,38,0,0,1,0.8539,0,1,y,y,y,m,m,m,y,m,y,m,m,,,,b
ebi_glo_3.5Mar_d246_m160,e-bikes,Global,3.5,Market Formation,cumulative PrivateEquityDeals,cumulative # deals,b8,0.41491,0.20532,11.718,2020.3,10.591,1034.2,0.0011572,1957.7,-23354,0.99884,0.99876,7.5383,3.367,0.97774,0.97668,33.035,19.992,0.47247,0.44735,160.81,125.37,45,21,0.79968,0.00096696,0.79871,21,0,20,0,0,1,0.86123,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_glo_3.5Mar_d247_m161,e-bikes,Global,3.5,Market Formation,Partial up to max PrivateEquityDeals,Partial up to max # deals,b8,0.36324,0.21033,1.9257,2019.2,12.098,181.11,0.1581,1989.6,-3836.5,0.99022,0.98947,3.3942,1.5696,0.97758,0.97646,5.1402,3.3371,0.48457,0.4588,24.646,19.316,43,19,0.72885,0.0055216,0.72333,19,0,18,0,0,1,0.83741,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_glo_3.5Mar_d248_m162,e-bikes,Global,3.5,Market Formation,cumulative PrivateEquityInvestment,cumulative $ million,b8,0.77889,0.23752,92.44,2019.8,5.6419,7453.1,2.0996e-08,1911.6,-1.8425e+05,0.99282,0.9923,161.35,83.894,0.94241,0.93967,456.99,215.09,0.39742,0.36872,1478.3,1108.4,45,21,0.93232,0.0003755,0.93194,21,0,20,0,0,1,0.85045,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_glo_3.5Mar_d249_m163,e-bikes,Global,3.5,Market Formation,Partial up to max PrivateEquityInvestment,Partial up to max $ million,b8,0.52065,0.52064,17.507,2042.5,8.4403,1.6428e+08,4.7366e-08,1973.8,-34885,0.88052,0.87109,150.38,50.361,0.88052,0.87439,150.38,50.361,0.2379,0.19882,379.8,230.05,42,18,1.4931e-05,3.4788e-09,1.4928e-05,18,0,10,0,1,1,0.41372,0,0,y,y,y,m,m,m,m,m,m,m,m,,,,b
ebi_glo_3.5Mar_d250_m162,e-bikes,Global,3.5,Market Formation,cumulative TotalFundraisingAmount,cumulative $ million,b8,0.47669,0.21094,190.49,2020.1,9.2187,16346,1.3998e-06,1914.3,-3.7963e+05,0.98847,0.98762,392.62,208.34,0.96373,0.962,696.3,342.17,0.45788,0.43206,2691.9,2047.9,45,26,0.8189,0.0015209,0.81738,26,0,25,0,0,1,0.85702,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_glo_3.5Mar_d251_m163,e-bikes,Global,3.5,Market Formation,Partial up to max TotalFundraisingAmount,Partial up to max $ million,b8,0.77628,0.77586,32.389,2035.9,5.6609,4.6583e+08,1.4159e-12,1975,-64530,0.82358,0.80966,332.95,131.35,0.82358,0.81454,332.95,131.37,0.24528,0.20658,688.65,379.99,42,21,1.0274e-05,8.3692e-09,1.0266e-05,23,0,17,0,1,1,0.3051,0,0,y,y,y,m,y,m,m,m,m,m,m,,,,b
ebi_glo_3.5Mar_d252_m160,e-bikes,Global,3.5,Market Formation,cumulative TotalFundraisingDeals,cumulative # deals,b8,0.31233,0.19099,18.409,2021.7,14.07,1956.2,0.00038908,1944.9,-36680,0.99738,0.99719,17.041,10.563,0.98782,0.98724,36.744,19.577,0.51571,0.49264,231.69,180.49,45,38,0.64768,0.00051119,0.64717,38,0,37,0,0,0,0.86207,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_glo_3.5Mar_d253_m161,e-bikes,Global,3.5,Market Formation,Partial up to max TotalFundraisingDeals,Partial up to max # deals,b8,0.24035,0.21835,2.8085,2028.1,18.284,1146.6,0.053721,1984,-5594.5,0.98751,0.98655,5.5584,2.5497,0.98715,0.9865,5.6387,2.767,0.49108,0.46563,35.481,26.737,43,30,0.18576,0.00087213,0.18489,36,0,35,0,0,1,0.80142,0,0,y,y,y,y,y,y,y,m,y,m,y,,,,b
ebi_net_1.1Ado_d050_m001,e-bikes,The Netherlands,1.1,Adoption over time,Annual production,#,b8,0.1868,0.11264,27568,2018.5,23.525,7.9588e+05,4.8462e-06,1795.8,-5.5253e+07,0.95215,0.94259,34149,27276,0.9351,0.92699,39771,31951,0.93549,0.92742,39653,30394,19,19,0.68729,0.031412,0.65588,19,2,18,1,0,1,0.91063,0,0,y,y,y,y,y,y,y,y,y,y,y,1,,,b
ebi_net_1.1Ado_d118_m030,e-bikes,The Netherlands,1.1,Adoption over time,Market share,% bikes sold,b8,0.18359,0.1091,0.044881,2020.1,23.937,1.0616,5.8045,2042,-90.136,0.97412,0.9547,0.016805,0.014543,0.96906,0.95669,0.018372,0.01525,0.96922,0.9569,0.018327,0.01503,8,8,0.53695,0.26376,0.27318,8,0,7,0,0,0,0.85364,1,1,y,y,y,y,y,y,y,y,y,y,y,,,,b
ebi_net_1.1Ado_d192_m089,e-bikes,The Netherlands,1.1,Adoption over time,Share of trips,% trips,b8,0.20587,0.1905,0.0056962,2031.6,21.345,0.57232,1.0126e-17,1830.5,-11.453,1,1,4.3939e-09,3.7521e-09,0.9998,-inf,0.00034949,0.00032647,0.94937,-inf,0.0055118,0.0050633,3,3,0.12231,0.017473,0.10484,11,0,2,0,0,1,0.48485,1,1,y,m,y,y,y,y,m,m,y,m,m,,,,b
ebi_net_3.2Adc_d078_m035,e-bikes,The Netherlands,3.2,Adopter characteristics,Distance share by age group (12-17),% distance,b8,0.63066,0.35516,0.0235,2020.6,6.968,0.26988,0.34679,2023.6,-47.351,0.99725,0.989,0.0036548,0.0029825,0.98291,0.96582,0.0091093,0.0080468,0.9098,0.8196,0.020928,0.0184,5,4,0.70403,0.074108,0.62992,7,0,3,0,0,1,0.51992,1,1,y,n,y,y,y,y,m,y,y,n,n,2,,,b
ebi_net_3.2Adc_d079_m035,e-bikes,The Netherlands,3.2,Adopter characteristics,Distance share by age group (60-64),% distance,b8,0.21899,0.0047602,0.0405,2023.2,20.067,1.0459,1554.2,1.576e+05,-81.457,0.87433,0.4973,0.0443,0.034044,-4.7377,-10.475,0.29933,0.272,0.84029,0.68058,0.04994,0.0376,5,5,0.43027,0.095615,0.33465,9,0,3,0,1,1,0.6808,1,1,y,n,y,y,y,y,m,y,y,n,n,2,,,b
ebi_net_3.2Adc_d080_m035,e-bikes,The Netherlands,3.2,Adopter characteristics,Distance share by age group (70+),% distance,b8,0.14426,0.0050631,0.044,2021.2,30.462,1.3274,1554.2,1.576e+05,-88.274,0.78967,0.15869,0.064559,0.05044,-13.541,-28.082,0.53679,0.518,0.78159,0.56318,0.065788,0.0496,5,5,0.5198,0.23354,0.28627,9,0,3,0,1,0,0.74859,1,1,y,n,y,y,y,y,y,y,y,n,n,2,,,b
ebi_net_3.2Adc_d099_m028,e-bikes,The Netherlands,3.2,Adopter characteristics,Female>male share by age group (50-59),%,b8,,,0.0026667,,,,,,-5.24,,,,,,,,,1,1,7.494e-16,7.494e-16,2,2,,,,4,0,1,0,0,0,0.49927,1,1,n,n,y,y,y,y,m,m,y,n,n,3,2 points,reject too few data points,b
ebi_net_3.2Adc_d100_m028,e-bikes,The Netherlands,3.2,Adopter characteristics,Female>male share by age group (60-64),%,b8,,,0.002,,,,,,-3.849,,,,,,,,,1,1,7.7119e-16,6.6613e-16,2,2,,,,4,0,1,0,0,0,0.49976,1,1,n,n,y,y,y,y,m,m,y,n,n,3,2 points,reject too few data points,b
ebi_net_3.5Mar_d074_m128,e-bikes,The Netherlands,3.5,Market Formation,CumulativeStartups,cum. # companies,b8,0.10243,0.064571,0.93307,2017.8,42.903,64.576,5.2189,1990.4,-1852.9,0.98673,0.98576,1.4634,1.1706,0.97209,0.97076,2.1227,1.6514,0.90959,0.90529,3.8204,3.2561,45,43,0.60394,0.015486,0.58846,43,2,42,0,0,0,0.95395,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,b
