Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,n_data_points,n_non_zero_data_points,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae, GN scoring ,GN comments,CW scoring,page,Code,Criterion,Counts, 
eat_usa_1.1Ado_d219_m136,Eating less meat,United States,1.1,Adoption over time,per capita other meat consumption,kg/yr,b1,52,52,-0.0085031,0.00028197,-0.0067266,812.11,-516.8,20204,1555.6,1.57E+05,14.292,0.55847,0.53087,0.094059,0.082082,-37.709,-39.289,0.8807,0.86925,0.50864,0.48859,0.099225,0.086333, 1 ,,,139,eat_usa_1.1Ado_d219_m136,,,
eat_usa_1.1Ado_d220_m136,Eating less meat,United States,1.1,Adoption over time,per capita pig consumption,Kg/yr,b1,52,52,-0.031676,-0.001455,-0.043029,2092.5,-138.73,30.92,41.833,1753.3,115.28,0.13016,0.0758,1.7144,1.3694,0.12276,0.086957,1.7217,1.3787,0.12342,0.087643,1.7211,1.378, 1 ,,,140,eat_usa_1.1Ado_d220_m136,,,
eat_usa_1.1Ado_d221_m136,Eating less meat,United States,1.1,Adoption over time,per capita poultry consumption,kg/yr,b1,52,52,0.071971,0.017386,0.76179,1980.9,61.059,59.22,6.394,1889.9,-1478.8,0.97438,0.97278,1.8872,1.5531,0.88935,0.88483,3.9222,3.6669,0.94023,0.93779,2.8827,2.6324, 1 ,,,141,eat_usa_1.1Ado_d221_m136,,,
eat_usa_1.1Ado_d222_m136,Eating less meat,United States,1.1,Adoption over time,per capita sheep & goat consumption,Kg/yr,b1,52,52,-0.021271,-0.021271,-0.01241,1464.2,-206.59,51943,6.1196,1889.5,25.443,0.70705,0.68874,0.12882,0.089163,0.70705,0.69509,0.12882,0.089169,0.61237,0.59655,0.14818,0.10559, 4 ,,"reversal, fit to partial",142,eat_usa_1.1Ado_d222_m136,,,
eat_usa_1.1Ado_d223_m136,Eating less meat,United States,1.1,Adoption over time,per capita total meat consumption,kg/yr,b1,52,52,0.040981,0.0024172,0.28675,1926.3,107.23,125.52,37.4,1522.4,-454.77,0.61249,0.58827,3.5489,3.0052,0.56412,0.54633,3.7639,3.0661,0.56984,0.55228,3.7392,3.0505, 1 ,,,143,eat_usa_1.1Ado_d223_m136,,,
eat_usa_1.1Ado_d37_m37,Eating less meat,United States,1.1,Adoption over time,% poultry+pig in total meat consumption,% kg/yr,b1,52,52,0.045038,0.0077143,0.0047322,1960.1,97.571,0.73931,5.5283,2284.3,-8.8434,0.94461,0.94115,0.017504,0.012082,0.89165,0.88723,0.024481,0.018745,0.9119,0.9083,0.022076,0.016528, 1 ,,,144,eat_usa_1.1Ado_d37_m37,,,
eat_usa_1.1Ado_d38_m37,Eating less meat,United States,1.1,Adoption over time,% red in total meat consumption,% kg/yr,b1,52,52,-0.012099,0.00051081,-0.0047322,1144.4,-363.2,11677,1555.3,1.57E+05,9.8434,0.93329,0.92912,0.01921,0.014155,-28.97,-30.193,0.40716,0.40031,0.9119,0.9083,0.022076,0.016528, 1 ,,,145,eat_usa_1.1Ado_d38_m37,,,
eat_usa_2.4Eas_d206_m100,Eating less meat,United States,2.4,Ease of Use,Vegetable consumption per capita,Kg/year,b1,52,52,0.067306,0.003918,0.47889,1951.6,65.291,128.27,25.877,1606.5,-836.61,0.72934,0.71243,4.7764,3.7871,0.59676,0.5803,5.8301,4.7046,0.61283,0.59703,5.7128,4.6148, 1 ,,,146,eat_usa_2.4Eas_d206_m100,,,
eat_usa_4.5Inf_d121_m100,Eating less meat,United States,4.5,Physical Infrastructure Dependence,Meat supply/person,Kg/year,b1,52,52,0.041017,0.0024167,0.28669,1926.3,107.14,125.51,34.656,1490.8,-454.66,0.61265,0.58844,3.5473,3.004,0.5642,0.54641,3.7626,3.0648,0.56992,0.55236,3.7378,3.0493, 1 ,,,147,eat_usa_4.5Inf_d121_m100,,,
ebi_chi_1.1Ado_d192_m15,E-bikes,China,1.1,Adoption over time,Total e-bike manufacturing volumes,# million,b8,7,7,,0.014454,0.4675,,,,5.815,1899.7,-911.24,,,,,0.80734,0.711,0.45889,0.37169,0.79985,0.69977,0.46773,0.38388, 2 ,,,148,ebi_chi_1.1Ado_d192_m15,,,
ebi_chi_1.1Ado_d86_m15,E-bikes,China,1.1,Adoption over time,E-bike sales volumes,# million,b8,6,6,0.54495,0.074769,3.0129,2016,8.0639,46.449,0.50064,1961.5,-6045.8,0.76508,0.41271,2.9832,2.4456,0.67148,0.45246,3.5278,2.5902,0.69886,0.4981,3.3776,2.4617, 2 ,,,149,ebi_chi_1.1Ado_d86_m15,,,
ebi_eun_1.1Ado_d86_m23,E-bikes,EU,1.1,Adoption over time,E-bike sales volumes,# thousands,b8,9,9,0.40594,0.051256,0.54167,2018.8,10.825,6.1685,1539.5,1.59E+05,-1090.4,0.99713,0.99541,0.075224,0.065785,-5.1391,-7.1854,3.4781,3.1822,0.99265,0.9902,0.12036,0.10605, 1 ,,,150,ebi_eun_1.1Ado_d86_m23,,,
ebi_net_1.1Ado_d119_m29,E-bikes,The Netherlands,1.1,Adoption over time,Market share,%,b8,8,8,0.18358,0.1091,4.4881,2020.1,23.937,106.16,0.1838,1968.2,-9013.6,0.97412,0.9547,1.6805,1.4544,0.96906,0.95669,1.8372,1.525,0.96922,0.9569,1.8327,1.503, 1 ,,,151,ebi_net_1.1Ado_d119_m29,,,
ebi_net_1.1Ado_d50_m1,E-bikes,The Netherlands,1.1,Adoption over time,Annual production,#,b8,19,19,0.1868,0.11264,27568,2018.5,23.525,7.96E+05,4.85E-06,1795.8,-5.53E+07,0.95215,0.94259,34149,27276,0.9351,0.92699,39771,31951,0.93549,0.92742,39653,30394, 1 ,,,152,ebi_net_1.1Ado_d50_m1,,,
ebi_net_3.2Adc_d100_m29,E-bikes,The Netherlands,3.2,Adopter characteristics,Female>male share by age group (60-64),%,b8,2,2,,,0.2,,,,,,-384.9,,,,,,,,,1,1,1.51E-14,1.07E-14, 3 ,2 points,reject too few data points,153,ebi_net_3.2Adc_d100_m29,,,
ebi_net_3.2Adc_d78_m35,E-bikes,The Netherlands,3.2,Adopter characteristics,Distance share by age group (12-17),% distance,b8,5,4,0.63066,0.35516,0.0235,2020.6,6.968,0.26988,0.34679,2023.6,-47.351,0.99725,0.989,0.0036548,0.0029824,0.98291,0.96582,0.0091093,0.0080468,0.9098,0.8196,0.020928,0.0184, 2 ,,,154,ebi_net_3.2Adc_d78_m35,,,
ebi_net_3.2Adc_d79_m35,E-bikes,The Netherlands,3.2,Adopter characteristics,Distance share by age group (60-64),% distance,b8,5,5,0.21899,0.0047602,0.0405,2023.2,20.067,1.0459,1554.2,1.58E+05,-81.457,0.87433,0.4973,0.0443,0.034044,-4.7377,-10.475,0.29933,0.272,0.84029,0.68058,0.04994,0.0376, 2 ,,,155,ebi_net_3.2Adc_d79_m35,,,
ebi_net_3.2Adc_d80_m35,E-bikes,The Netherlands,3.2,Adopter characteristics,Distance share by age group (70+),% distance,b8,5,5,0.14426,0.0050631,0.044,2021.2,30.463,1.3275,1554.2,1.58E+05,-88.274,0.78967,0.15869,0.064559,0.05044,-13.541,-28.082,0.53679,0.518,0.78159,0.56318,0.065788,0.0496, 2 ,,,156,ebi_net_3.2Adc_d80_m35,,,
ebi_net_3.2Adc_d99_m29,E-bikes,The Netherlands,3.2,Adopter characteristics,Female>male share by age group (50-59),%,b8,2,2,,,0.26667,,,,,,-524,,,,,,,,,1,1,3.65E-14,3.46E-14, 3 ,2 points,reject too few data points,157,ebi_net_3.2Adc_d99_m29,,,
ebi_net_4.5Inf_d77_m137,E-bikes,The Netherlands,4.5,Provisioning system,Development of cycling distance per person,km,b8,5,5,0.34764,0.20197,33.217,2020.6,12.641,599.65,7.33E-05,1945.4,-66817,0.99098,0.9639,11.354,9.2025,0.97838,0.95677,17.571,15.737,0.97017,0.94035,20.641,17.032, 2 ,,,158,ebi_net_4.5Inf_d77_m137,,,
eco_chi_1.1Ado_d115_m73,E-commerce,China,1.1,Adoption over time,Internet sales as a percentage of total retail sales (ratio) (%),% of total retail,m4,10,10,0.29464,0.10927,2.1776,2017.4,14.914,33.643,1.0203,1992,-4376.2,0.97923,0.96884,0.91577,0.72892,0.9378,0.92003,1.5847,1.298,0.96894,0.96007,1.1198,0.91224, 1 ,,,159,eco_chi_1.1Ado_d115_m73,,,
eco_chi_2.4Eas_d160_m59,E-commerce,China,2.4,Ease of Use,Owns a credit card,% of age 15+,m4,4,4,0.14397,0.14397,2.864,2098,30.524,2.46E+06,3.8866,2005.2,-5752.8,0.98381,#NAME?,1.3908,1.1937,0.98381,0.95143,1.3907,1.1936,0.93987,0.81962,2.68,2.2325, 1 ,,,160,eco_chi_2.4Eas_d160_m59,,,
eco_chi_2.4Eas_d161_m59,E-commerce,China,2.4,Ease of Use,Owns a debit card,% of age 15+,m4,4,4,0.16164,0.061167,3.6546,2013.5,27.187,99.049,0.27472,1928.7,-7309,0.97666,#NAME?,2.0953,1.8653,0.95562,0.86687,2.8894,2.5022,0.9717,0.9151,2.3074,2.0056, 2 ,,,161,eco_chi_2.4Eas_d161_m59,,,
eco_chi_2.4Eas_d45_m59,E-commerce,China,2.4,Ease of Use,Account in financial institution,% of age 15+,m4,4,4,0.26204,0.028286,2.2624,2007.4,16.77,89.722,1.6805,1880.4,-4482.7,0.93014,#NAME?,2.3594,2.1041,0.86149,0.58447,3.3221,2.6765,0.87925,0.63774,3.1019,2.5709, 2 ,,,162,eco_chi_2.4Eas_d45_m59,,,
eco_chi_3.2Adc_d81_m70,E-commerce,China,3.2,Adopter characteristics,Distribution of newly added e-commerce users by generation (Gen Others),% of new online shoppers,m4,3,3,-0.087227,-0.020241,-0.225,1905.5,-50.38,58513,-1536.7,-1.53E+05,457.24,0.36059,2.2788,0.52367,0.4925,-20.521,#NAME?,3.0381,2.9667,0.31477,#NAME?,0.54212,0.51111, 3 ,,reject too few data points,163,eco_chi_3.2Adc_d81_m70,,,
eco_chi_3.2Adc_d82_m70,E-commerce,China,3.2,Adopter characteristics,Distribution of newly added e-commerce users by generation (Gen X),% of new online shoppers,m4,3,3,-41.133,-0.033378,-0.775,2021,-0.10683,23.2,34.509,2005,1586.4,0.74202,1.516,1.3064,1.067,0.22551,#NAME?,2.2636,2.1333,0.24211,#NAME?,2.2392,2.1111, 3 ,,reject too few data points,164,eco_chi_3.2Adc_d82_m70,,,
eco_chi_3.2Adc_d83_m70,E-commerce,China,3.2,Adopter characteristics,Distribution of newly added e-commerce users by generation (Gen Y),% of new online shoppers,m4,3,3,,-0.16402,-5.1,,,,57.166,2015.2,10329,,,,,0.99938,#NAME?,0.20833,0.19464,0.98607,#NAME?,0.98995,0.93333, 2 ,,reject too few data points,165,eco_chi_3.2Adc_d83_m70,,,
eco_chi_3.2Adc_d84_m70,E-commerce,China,3.2,Adopter characteristics,Distribution of newly added e-commerce users by generation (Gen Z),% of new online shoppers,m4,3,3,0.16047,0.14153,6.1,2031.8,27.385,374.94,0.068708,1973.6,-12272,1,1,4.53E-13,4.44E-13,0.9999,#NAME?,0.10148,0.095032,0.99499,#NAME?,0.70711,0.66667, 2 ,,reject too few data points,166,eco_chi_3.2Adc_d84_m70,,,
eco_chi_4.5Inf_d174_m65,E-commerce,China,4.5,Infrastructure dependence,Proportion of households with Internet access either via a fixed or mobile network,% of households,m4,20,20,0.21881,0.10972,4.2281,2014.7,20.083,100.76,0.23421,1966.8,-8467.3,0.99551,0.99467,1.654,1.3177,0.9656,0.96156,4.5786,4.0099,0.97526,0.97235,3.8828,3.085, 1 ,,,167,eco_chi_4.5Inf_d174_m65,,,
eco_ger_1.1Ado_d114_m73,E-commerce,Germany,1.1,Adoption over time,Internet sales as a percentage of total retail (B2C) sales (ratio) (%),% of total retail,m4,2,2,,,-2.5,,,,,,5066.8,,,,,,,,,1,1,1.81E-13,1.81E-13, 3 ,,"no logfit, use lin",168,eco_ger_1.1Ado_d114_m73,,,
eco_ger_1.1Ado_d124_m105,E-commerce,Germany,1.1,Adoption over time,"Monetary value of e-commerce sales (all activities - B2B, B2C, B2G)",Million euro,m4,7,7,0.014362,0.014334,13576,2470.4,305.99,6.49E+08,84.718,1365.4,-2.64E+07,0.040539,-0.91892,1.36E+05,1.16E+05,0.040543,-0.43919,1.36E+05,1.16E+05,0.038105,-0.44284,1.36E+05,1.16E+05, 3 ,,"no logfit, use lin",169,eco_ger_1.1Ado_d124_m105,,,
eco_ger_1.1Ado_d47_m92,E-commerce,Germany,1.1,Adoption over time,Annual Internet retail (B2C) sales value,Billion Euros,m4,25,25,0.19923,0.12245,3.7436,2019.2,22.057,131.04,0.24705,1974.2,-7497.1,0.98936,0.98784,2.9038,2.1422,0.97257,0.97007,4.6619,3.838,0.91994,0.91267,7.9636,6.9594, 1 ,,,170,eco_ger_1.1Ado_d47_m92,,,
eco_ger_1.1Ado_d95_m74,E-commerce,Germany,1.1,Adoption over time,"Enterprises' total turnover from e-commerce sales (all activities - B2B, B2C, B2G)",% of turnover,m4,10,10,35.892,0.021728,0.36788,2014,0.12243,17.044,5.4802,1967.6,-725.95,0.29682,-0.054768,2.006,1.5667,0.19136,-0.03968,2.1512,1.8122,0.1951,-0.034877,2.1462,1.8056, 2 ,,,171,eco_ger_1.1Ado_d95_m74,,,
eco_ger_2.3Rel_d180_m67,E-commerce,Germany,2.3,Relative (dis)advantage,Share of Internet users not buying online due to payment security concerns,% of internet users,m4,5,5,-1.0267,-0.062711,-2.0189,2019.9,-4.2803,33.091,54.909,2003.8,4096.4,0.94183,0.76731,2.374,2.0582,0.62465,0.2493,6.0302,5.2173,0.71354,0.42708,5.268,4.7741, 2 ,,,172,eco_ger_2.3Rel_d180_m67,,,
eco_ger_2.4Eas_d160_m59,E-commerce,Germany,2.4,Ease of Use,Owns a credit card,% of age 15+,m4,4,4,0.2781,0.041075,2.0569,2009.4,15.802,58.842,1.2801,1928,-4098.5,0.9999,#NAME?,0.07868,0.07085,0.89709,0.69127,2.5287,2.4733,0.932,0.796,2.0555,2.0442, 1 ,,,173,eco_ger_2.4Eas_d160_m59,,,
eco_ger_2.4Eas_d161_m59,E-commerce,Germany,2.4,Ease of Use,Owns a debit card,% of age 15+,m4,4,4,0.13427,0.0055536,0.50795,1992.1,32.729,95.426,19.162,1734.9,-932.73,0.75917,#NAME?,1.067,0.9434,0.74585,0.23756,1.0961,0.94178,0.74707,0.2412,1.0935,0.9411, 1 ,,,174,eco_ger_2.4Eas_d161_m59,,,
eco_ger_2.4Eas_d45_m59,E-commerce,Germany,2.4,Ease of Use,Account in financial institution,% of age 15+,m4,4,4,,0.0018205,0.18032,,,,39.603,1512.5,-264.48,,,,,0.99215,0.97644,0.059358,0.051822,0.99205,0.97614,0.059727,0.051941, 1 ,,,175,eco_ger_2.4Eas_d45_m59,,,
eco_ger_2.5Var_d183_m61,E-commerce,Germany,2.5,Variety (Choice Availability),Share of businesses receiving orders through the Internet,% of business,m4,12,12,-0.23054,-0.011197,-0.22501,2028.3,-19.062,20.657,30.384,1975.1,472.85,0.17674,-0.13198,1.9629,1.6161,0.12407,-0.070581,2.0247,1.5769,0.12891,-0.06466,2.0191,1.5791, 2 ,,,176,eco_ger_2.5Var_d183_m61,,,
eco_ger_2.5Var_d189_m72,E-commerce,Germany,2.5,Variety (Choice Availability),Small firms selling online,% of small firms (10-49 employees),m4,14,14,2.2758,-0.00111,-0.0255,2007.6,1.9309,21.677,28.506,1747.9,72.572,0.25154,0.026996,2.5578,2.1321,0.0011157,-0.1805,2.9549,2.4548,0.0012088,-0.18039,2.9547,2.4515, 2 ,,,177,eco_ger_2.5Var_d189_m72,,,
eco_ger_2.5Var_d65_m61,E-commerce,Germany,2.5,Variety (Choice Availability),Businesses with a web presence,% of business,m4,17,17,0.14601,0.012989,1.093,1996.5,30.096,91.901,5.9646,1810.6,-2117.4,0.97131,0.96469,0.95071,0.7226,0.89567,0.88077,1.8129,1.5701,0.91005,0.8972,1.6834,1.4653, 1 ,,,178,eco_ger_2.5Var_d65_m61,,,
eco_ger_3.2Adc_d15_m60,E-commerce,Germany,3.2,Adopter characteristics,% of individuals who made purchases online (age 25-34),% of age group,m4,14,14,0.68517,0.0020388,0.18921,2006.3,6.4137,91.672,34.56,1543.4,-290.86,0.35454,0.1609,2.4994,2.0046,0.058734,-0.11241,3.0182,2.5823,0.06011,-0.11078,3.016,2.5801, 2 ,,,179,eco_ger_3.2Adc_d15_m60,,,
eco_ger_3.2Adc_d16_m60,E-commerce,Germany,3.2,Adopter characteristics,% of individuals who made purchases online (age 35-44),% of age group,m4,14,14,0.4151,0.0083964,0.75048,2005.8,10.586,89.806,9.9261,1758.3,-1426.5,0.79098,0.72828,2.0023,1.4539,0.46353,0.366,3.2079,2.7462,0.47714,0.38208,3.1669,2.708, 2 ,,,180,eco_ger_3.2Adc_d16_m60,,,
eco_ger_3.2Adc_d17_m60,E-commerce,Germany,3.2,Adopter characteristics,% of individuals who made purchases online (age 45-54),% of age group,m4,14,14,0.28683,0.019667,1.5559,2006.6,15.321,83.802,3.1617,1854.7,-3061.1,0.90621,0.87807,2.2085,1.5716,0.73031,0.68128,3.745,3.3669,0.75646,0.71218,3.5588,3.1829, 2 ,,,181,eco_ger_3.2Adc_d17_m60,,,
eco_ger_3.2Adc_d18_m60,E-commerce,Germany,3.2,Adopter characteristics,% of individuals who made purchases online (age 55-64),% of age group,m4,14,14,0.21945,0.038592,2.4138,2009.3,20.025,75.829,1.145,1914.1,-4807.1,0.97228,0.96396,1.6844,1.0925,0.89158,0.87187,3.3311,2.876,0.92504,0.91141,2.7698,2.32, 2 ,,,182,eco_ger_3.2Adc_d18_m60,,,
eco_ger_3.2Adc_d19_m60,E-commerce,Germany,3.2,Adopter characteristics,% of individuals who made purchases online (age 65-74),% of age group,m4,14,14,0.22266,0.060904,2.5526,2012.5,19.736,59.039,0.7607,1951.9,-5107.3,0.98561,0.98129,1.2573,1.0033,0.92298,0.90898,2.9083,2.6404,0.96416,0.95764,1.9839,1.7648, 2 ,,,183,eco_ger_3.2Adc_d19_m60,,,
eco_ger_3.2Adc_d20_m63,E-commerce,Germany,3.2,Adopter characteristics,% of individuals who made purchases online (high formal education),% of education group,m4,4,4,,-0.023478,-1.917,,,,140.38,1998.9,3957.9,,,,,0.74246,0.22739,1.2701,1.2497,0.73341,0.20023,1.2922,1.2725, 2 ,,,184,eco_ger_3.2Adc_d20_m63,,,
eco_ger_3.2Adc_d21_m63,E-commerce,Germany,3.2,Adopter characteristics,% of individuals who made purchases online (medium formal education),% of education group,m4,4,4,-0.036539,-0.036533,-2.478,1785.5,-120.27,3.88E+05,119.99,2006.6,5079.1,0.57564,#NAME?,2.4126,2.4085,0.57564,-0.27308,2.4126,2.4085,0.55958,-0.32125,2.4579,2.455, 2 ,,,185,eco_ger_3.2Adc_d21_m63,,,
eco_ger_3.2Adc_d22_m63,E-commerce,Germany,3.2,Adopter characteristics,% of individuals who made purchases online (no or low formal education),% of education group,m4,4,4,,-0.072438,-3.584,,,,88.461,2013.7,7295.7,,,,,0.90175,0.70524,1.3375,1.3275,0.8819,0.6457,1.4664,1.46, 2 ,,,186,eco_ger_3.2Adc_d22_m63,,,
eco_ger_3.2Adc_d23_m60,E-commerce,Germany,3.2,Adopter characteristics,% of individuals who made purchases online by (age 16-24),% of age group,m4,14,14,0.26987,0.012222,0.98222,2004.3,16.284,83.39,6.3607,1810.8,-1902,0.86422,0.82349,1.7187,1.5181,0.70529,0.6517,2.5322,2.2542,0.72056,0.66976,2.4657,2.2014, 1 ,,,187,eco_ger_3.2Adc_d23_m60,,,
eco_ger_3.2Adc_d29_m60,E-commerce,Germany,3.2,Adopter characteristics,% of individuals who made purchases online by age (75 or more),% of age group,m4,3,3,20.795,0.03681,0.34,2009.9,0.21132,9.325,9.3504,2011.8,-674.67,0.97125,1.0575,0.061237,0.05,0.58039,#NAME?,0.23394,0.22053,0.5909,#NAME?,0.23099,0.21778, 2 ,,,188,eco_ger_3.2Adc_d29_m60,,,
eco_ger_4.3Com_d113_m66,E-commerce,Germany,4.3,Compatibility,Individuals using the Internet to purchase goods or services,% of individuals,m4,20,20,0.19373,0.025207,1.6665,2002.1,22.684,75.319,2.5178,1885.8,-3291.6,0.95196,0.94295,2.5632,2.1822,0.79427,0.77007,5.3041,4.142,0.84282,0.82433,4.6362,3.7257, 1 ,,,189,eco_ger_4.3Com_d113_m66,,,
eco_ger_4.3Com_d116_m67,E-commerce,Germany,4.3,Compatibility,Internet users buying online,% of internet users,m4,18,18,0.1785,0.015493,1.2271,1999.6,24.618,85.951,4.6994,1833.1,-2393.6,0.95262,0.94246,1.4992,1.254,0.83163,0.80918,2.8261,2.2674,0.85439,0.83497,2.6282,2.0634, 1 ,,,190,eco_ger_4.3Com_d116_m67,,,
eco_ger_4.5Inf_d174_m65,E-commerce,Germany,4.5,Infrastructure dependence,Proportion of households with Internet access either via a fixed or mobile network,% of households,m4,24,24,0.29484,0.029199,2.4379,2002.3,14.904,91.058,1.6702,1881.5,-4828.2,0.98833,0.98658,2.0421,1.5483,0.72293,0.69655,9.9505,7.678,0.79691,0.77757,8.5192,6.9493, 1 ,,,191,eco_ger_4.5Inf_d174_m65,,,
eco_sou_1.1Ado_d115_m29,E-commerce,South Korea,1.1,Adoption over time,Internet sales as a percentage of total retail sales (ratio) (%),%,m4,11,11,0.22238,0.11254,1.0115,2018.1,19.761,19.719,8.8573,2017.6,-2031.5,0.9714,0.95914,0.54939,0.44474,0.953,0.94125,0.7042,0.60513,0.96971,0.96214,0.5653,0.44398, 1 ,,,192,eco_sou_1.1Ado_d115_m29,,,
eco_sou_1.1Ado_d49_m118,E-commerce,South Korea,1.1,Adoption over time,Annual e-commerce sales value,Trillion Korean Won,m4,14,14,0.26654,0.16947,16.52,2021.3,16.487,380.81,0.0033428,1956.9,-33211,0.99558,0.99425,4.5796,3.6886,0.98354,0.98055,8.8336,7.7197,0.9354,0.92366,17.5,15.313, 1 ,,,193,eco_sou_1.1Ado_d49_m118,,,
eco_sou_2.4Eas_d160_m59,E-commerce,South Korea,2.4,Ease of Use,Owns a credit card,% of age 15+,m4,4,4,,0.021823,1.3298,,,,3.5193,1885.1,-2619.4,,,,,0.90508,0.71525,1.6011,1.3181,0.89617,0.6885,1.6747,1.3952, 2 ,,,194,eco_sou_2.4Eas_d160_m59,,,
eco_sou_2.4Eas_d161_m59,E-commerce,South Korea,2.4,Ease of Use,Owns a debit card,% of age 15+,m4,4,4,0.12289,0.036077,2.6164,2009.1,35.758,103.44,1.0076,1898.1,-5203.1,0.99982,#NAME?,0.12925,0.11466,0.9835,0.95049,1.247,1.1928,0.99443,0.98329,0.7244,0.68411, 2 ,,,195,eco_sou_2.4Eas_d161_m59,,,
eco_sou_2.4Eas_d45_m59,E-commerce,South Korea,2.4,Ease of Use,Account in financial institution,% of age 15+,m4,4,4,,0.0056664,0.53813,,,,15.841,1699.2,-989.5,,,,,0.91074,0.73221,0.62469,0.51921,0.90664,0.71991,0.63888,0.52758, 3 ,,"no logfit, use lin",196,eco_sou_2.4Eas_d45_m59,,,
eco_sou_2.5Var_d183_m61,E-commerce,South Korea,2.5,Variety (Choice Availability),Share of businesses receiving orders through the Internet,% of business,m4,3,3,-26.126,-0.23794,-3.1787,2014,-0.16821,14.261,21.131,2010.6,6410.6,0.9899,1.0202,0.32138,0.26241,0.59039,#NAME?,2.0471,1.9209,0.65838,#NAME?,1.8695,1.7626, 1 ,,,197,eco_sou_2.5Var_d183_m61,,,
eco_sou_2.5Var_d189_m72,E-commerce,South Korea,2.5,Variety (Choice Availability),Small firms selling online,% of small firms (10-49 employees),m4,17,17,0.076659,0.076657,0.83319,2154.9,57.325,5.77E+05,5.4745,2004,-1665.5,0.75067,0.69313,2.4338,1.9715,0.75067,0.71505,2.4338,1.9714,0.70132,0.65865,2.6638,2.2093, 1 ,,,198,eco_sou_2.5Var_d189_m72,,,
eco_sou_2.5Var_d65_m61,E-commerce,South Korea,2.5,Variety (Choice Availability),Businesses with a web presence,% of business,m4,17,17,0.012476,0.012474,0.75463,2718.6,352.24,4.09E+05,6.9194,1838,-1457.6,0.79026,0.74186,1.9201,1.6679,0.79026,0.7603,1.92,1.6679,0.77757,0.74579,1.9773,1.7277, 2 ,,,199,eco_sou_2.5Var_d65_m61,,,
eco_sou_4.3Com_d113_m66,E-commerce,South Korea,4.3,Compatibility,Individuals using the Internet to purchase goods or services,% of individuals,m4,15,15,0.03217,0.032169,1.7175,2330.7,136.6,1.44E+06,1.4086,1900.4,-3403.8,0.62297,0.52014,6.3036,5.2951,0.62297,0.56013,6.3036,5.2949,0.5742,0.50323,6.699,5.6715, 2 ,,,200,eco_sou_4.3Com_d113_m66,,,
eco_sou_4.3Com_d116_m67,E-commerce,South Korea,4.3,Compatibility,Internet users buying online,% of Internet users,m4,17,17,0.017351,0.017349,1.0012,2536.8,253.27,5.29E+05,4.8153,1867.8,-1955.5,0.5575,0.45539,4.4532,3.7372,0.55751,0.49429,4.4532,3.7372,0.53684,0.47068,4.5559,3.733, 1 ,,,201,eco_sou_4.3Com_d116_m67,,,
eco_sou_4.5Inf_d174_m65,E-commerce,South Korea,4.5,Infrastructure dependence,Proportion of households with Internet access either via a fixed or mobile network,% of households,m4,24,24,0.44959,0.01466,1.4375,1999.9,9.7743,98.972,6.1985,1828,-2799.7,0.992,0.9908,1.1574,0.99725,0.55321,0.51066,8.6504,6.7163,0.59118,0.55225,8.2746,6.4967, 1 ,,,202,eco_sou_4.5Inf_d174_m65,,,
eco_uki_1.1Ado_d114_m73,E-commerce,UK,1.1,Adoption over time,Internet sales as a percentage of total retail (B2C) sales (ratio) (%),% of total retail,m4,17,17,0.19446,0.10981,1.6525,2019,22.598,43.04,1.9938,1997.9,-3314.8,0.94405,0.93114,1.9953,1.4531,0.92371,0.91281,2.3299,1.4138,0.92097,0.90968,2.3714,1.8674, 2 ,,,203,eco_uki_1.1Ado_d114_m73,,,
eco_uki_1.1Ado_d124_m105,E-commerce,UK,1.1,Adoption over time,"Monetary value of e-commerce sales (all activities - B2B, B2C, B2G)",Million euro,m4,4,4,0.2955,0.086471,59383,2015.6,14.871,9.75E+05,0.0001028,1757,-1.19E+08,0.96048,#NAME?,13494,12117,0.95073,0.8522,15067,12448,0.95661,0.86984,14139,12198, 1 ,,,204,eco_uki_1.1Ado_d124_m105,,,
eco_uki_1.1Ado_d47_m107,E-commerce,UK,1.1,Adoption over time,Annual Internet retail (B2C) sales value,Millions of pounds,m4,17,17,0.22366,0.13973,1775.4,2020.7,19.648,48688,3.43E-06,1858.6,-3.56E+06,0.96424,0.95599,1725.4,1269.2,0.94971,0.94252,2046.3,1304.1,0.90857,0.89551,2759,2408.3, 2 ,,,205,eco_uki_1.1Ado_d47_m107,,,
eco_uki_1.1Ado_d95_m74,E-commerce,UK,1.1,Adoption over time,"Enterprises' total turnover from e-commerce sales (all activities - B2B, B2C, B2G)",% of turnover,m4,7,7,0.0070329,0.007017,0.13214,2877.2,624.84,8298.4,8.4007,1896.8,-247,0.068934,-0.86213,0.98903,0.90886,0.06894,-0.39659,0.98903,0.90884,0.066482,-0.40028,0.99034,0.9102, 3 ,,"no logfit, use lin",206,eco_uki_1.1Ado_d95_m74,,,
