Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae,n_data_points,n_non_zero_data_points,max_over_K,min_over_K,range_over_k,length_trimmed_series_years,n_data_points_beyond_max,n_data_points_beyond_min,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,autocorr_l1,all_values_less_than_or_equal_to_1,all_values_less_than_or_equal_to_100,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin
dri_sto_1.1Ado_d31_m72,drivers licence,Stockholm,1.1,Adoption over Time,% of population holding a drivers licence,% of population,b9,-0.00011746,-0.00010085,-5.3361e-05,-13366,-37411,3.7855,0.56004,1540.6,0.6414,0.0037638,-2.9849,0.0061621,0.0055958,0.0037694,-0.99246,0.006162,0.0055958,0.0037354,-0.99253,0.0061621,0.0055959,5,5,0.14317,0.13917,0.0039982,21,0,1,0,1,0,0.79465,1,1,n,m,y,y,y,y,y,m,m,n,m
dri_sto_1.1Ado_d6_m47,drivers licence,Stockholm,1.1,Adoption over Time,% of 18-19yr age group holding a drivers licence,% of 18-19yr olds,b9,0.018264,0.018264,0.004499,2570.4,240.6,6803.5,2.2448e-08,1122.9,-8.7965,0.76953,0.078113,0.017874,0.016363,0.76953,0.53906,0.017874,0.016363,0.73006,0.46013,0.019344,0.018109,5,5,4.8168e-05,3.1961e-05,1.6207e-05,21,0,3,0,1,0,0.75348,1,1,y,m,y,y,y,y,y,m,y,m,m
dri_sto_1.1Ado_d7_m45,drivers licence,Stockholm,1.1,Adoption over Time,"% of 18-19yr age group holding a drivers licence, by gender",% of 18-19yr old females,b9,-0.92619,-0.063561,-0.68741,1996.8,-4.7446,5637,-1523.2,-1.5478e+05,1387.4,0.99927,0.99708,0.18687,0.1442,-0.28305,-1.5661,7.8288,3.6771,0.49459,-0.010815,4.9136,4.1715,5,5,0.0031045,2.9633e-05,0.0030749,21,4,3,0,1,1,0.010018,0,1,y,m,y,y,y,y,m,m,y,m,m
dri_sto_1.1Ado_d7_m46,drivers licence,Stockholm,1.1,Adoption over Time,"% of 18-19yr age group holding a drivers licence, by gender",% of 18-19yr old males,b9,-0.94099,-0.94048,-1.1887,1996.6,-4.67,11914,10.297,2004.1,2399.1,0.99956,0.99824,0.25006,0.19356,0.99956,0.99912,0.25006,0.19356,0.49749,-0.0050229,8.4476,7.1755,5,5,0.0025264,2.2459e-05,0.0025039,21,4,3,0,1,1,0.0091913,0,1,y,m,y,y,y,y,m,m,y,m,m
dri_sto_1.1Ado_d8_m48,drivers licence,Stockholm,1.1,Adoption over Time,% of 18-19yr age group in 2003 holding a drivers licence,% of 18-19yr olds in 2003 cohort,b9,-0.08856,0.0020636,0.011816,2451.2,-49.621,0.45238,1555.1,1.5749e+05,-23.333,-3.9662e-12,-3,0.11251,0.085982,-16.167,-33.333,0.46616,0.45238,0.55148,0.10297,0.075349,0.063955,5,5,1.2394,0.52484,0.71452,21,0,4,0,0,1,0.78866,1,1,n,m,y,y,y,y,y,y,y,n,m
dri_swe_1.1Ado_d31_m72,drivers licence,Sweden,1.1,Adoption over Time,% of population holding a drivers licence,% of population,b9,1.3446,0.0012141,0.00096677,1986.3,3.2683,0.8,0.17332,746.87,-1.1399,1,1,3.7468e-09,3.7425e-09,0.77033,-inf,0.0045183,0.0042591,0.77341,-inf,0.0044879,0.0042296,3,3,1,0.975,0.025,22,1,2,1,0,0,0.66935,1,1,y,m,y,y,y,y,m,m,y,m,m
dri_swe_1.1Ado_d6_m44,drivers licence,Sweden,1.1,Adoption over Time,% of 18-19yr age group holding a drivers licence,% of 18-19yr age group,b9,-0.022396,-0.022396,-0.0092404,1514.9,-196.21,22427,1.3617,1948.4,18.918,0.74424,0.68943,0.045534,0.036586,0.74424,0.71014,0.045534,0.036587,0.67556,0.6323,0.051285,0.039707,18,18,3.139e-05,1.6364e-05,1.5026e-05,29,17,8,0,1,0,0.90776,1,1,y,y,y,y,y,y,y,m,y,m,y
dri_usa_1.1Ado_d30_m72,drivers licence,US,1.1,Adoption over time,% of population (residents) holding a drivers licence,% of population,b9,-0.018048,0.0012346,0.0031067,3697.1,-243.48,0.63642,1555.2,1.5742e+05,-5.5491,-2.8599e-13,-0.050847,0.06455,0.053211,-97.205,-100.48,0.63968,0.63642,0.76595,0.75815,0.031229,0.027826,63,63,1.1093,0.77469,0.33459,63,0,62,0,0,0,0.98557,1,1,n,y,y,y,y,y,y,y,y,n,y
dri_usa_2.2Rel_d105_m131,drivers licence,US,2.2,Relative Advantage (profitability),Fuel efficiency (VMT per gallon),index (1989=1),b9,0.028013,0.0077988,0.0076289,1958.4,156.87,1.3665,6.5383,2238.1,-14.228,0.90882,0.90419,0.044219,0.03492,0.88224,0.87831,0.050254,0.041248,0.8974,0.89398,0.046907,0.038396,63,63,0.85328,0.54884,0.30444,63,0,50,0,1,0,0.98334,0,1,y,y,y,y,y,y,y,y,y,y,y
dri_usa_2.2Rel_d51_m125,drivers licence,US,2.2,Relative Advantage (profitability),Average cost of mile traveled by bus / car,bus/car cost per mile traveled,b9,0.22464,0.010593,0.0075206,1998.5,19.563,0.72714,0.18661,1891.1,-14.459,0.54721,0.44272,0.044062,0.029971,0.37192,0.28219,0.051895,0.034375,0.38961,0.30241,0.051159,0.033317,17,17,1.0793,0.78984,0.28942,19,4,16,1,0,0,0.95555,1,1,m,y,y,y,y,y,y,y,y,m,y
dri_usa_2.2Rel_d55_m26,drivers licence,US,2.2,Relative Advantage (profitability),Average total cost of mile traveled by bus,$ (constant 2022),b9,0.10122,0.0021684,0.01276,2009.1,43.413,0.54245,1555,1.575e+05,-25.364,0.99091,0.98882,0.0066512,0.0055446,-20.421,-23.481,0.32292,0.31529,0.98784,0.98611,0.0076924,0.0055572,17,17,0.77227,0.38578,0.38648,19,0,16,0,0,0,0.93706,1,1,y,y,y,y,y,y,y,y,y,y,y
dri_usa_2.2Rel_d56_m26,drivers licence,US,2.2,Relative Advantage (profitability),Average total cost of mile traveled by car,$ (constant 2022),b9,0.033059,0.0023437,0.014741,2326.5,132.93,14654,1555,1.5749e+05,-29.201,0.89445,0.87582,0.031015,0.022339,-22.911,-25.568,0.46681,0.45694,0.87423,0.86025,0.033856,0.021976,21,21,4.9132e-05,2.1143e-05,2.799e-05,21,0,20,0,0,0,0.93019,1,1,y,y,y,y,y,y,y,m,y,m,y
dri_usa_2.3Rel_d208_m69,drivers licence,US,2.3,Relative Advantage (Co-Benefits),Traffic death rates,% of licensed drivers,b9,-0.0065663,,-4.6624e-06,745.27,-669.24,0.87291,,,0.0095505,0.50157,0.38654,2.6085e-05,1.6432e-05,,,,,0.88995,0.87422,1.2257e-05,1.0224e-05,17,17,0.00040279,0.00020575,0.00019704,29,16,0,0,0,0,0.91349,1,1,m,y,y,y,y,y,y,m,y,m,y
dri_usa_2.9Int_d124_m131,drivers licence,US,2.9,Inter-dependence with Hardware,Motor fuel consumption,index (1989=1),b9,0.058448,0.013664,0.014717,1971.8,75.186,1.4247,0.92135,1986.2,-28.289,0.96314,0.96127,0.05337,0.045064,0.87233,0.86807,0.099333,0.078457,0.92667,0.92423,0.07528,0.059045,63,63,0.96163,0.30884,0.65278,63,3,62,0,0,0,0.98566,0,1,y,y,y,y,y,y,y,y,y,y,y
dri_usa_2.9Int_d198_m143,drivers licence,US,2.9,Inter-dependence with Hardware,Total number of vehicles registered,million vehicles,b9,0.050866,0.017431,3.3895,1981.5,86.393,309.93,6.1063,1797.8,-6563,0.99369,0.99337,4.9237,4.3744,0.94654,0.94476,14.329,12.851,0.98911,0.98875,6.4659,5.7872,63,63,0.9131,0.23876,0.67434,63,0,62,0,0,0,0.98204,0,0,y,y,y,y,y,y,y,y,y,y,y
dri_usa_3.2Adc_d11_m50,drivers licence,US,3.2,Adopter characteristics,% of age cohort 18 yrs in 1978 holding a drivers licence,% of 18yr olds in 1978,b9,0.41219,0.0011129,0.0021156,1973.7,10.661,0.93459,1555.5,1.5742e+05,-3.3266,0.99756,0.99512,0.0023729,0.0016643,-362.12,-543.68,0.91582,0.91456,0.49423,0.24135,0.034179,0.027189,7,7,1.0036,0.85278,0.15087,45,1,6,0,0,0,0.8701,1,1,y,y,y,y,y,y,y,m,y,m,y
dri_usa_3.2Adc_d12_m51,drivers licence,US,3.2,Adopter characteristics,% of age cohort 18 yrs in 1988 holding a drivers licence,% of 18yr olds in 1988,b9,2.3582,0.0069052,0.0062562,1987.7,1.8635,0.93079,5.2017,2266.9,-11.689,0.98884,0.9721,0.01187,0.0082287,0.46723,0.11205,0.082009,0.063242,0.49239,0.15399,0.080049,0.062662,6,6,1.0265,0.67792,0.3486,35,4,5,1,0,0,0.8561,1,1,y,y,y,y,y,y,y,y,y,y,y
dri_usa_3.2Adc_d13_m52,drivers licence,US,3.2,Adopter characteristics,% of age cohort 18 yrs in 2008 holding a drivers licence,% of 18yr olds in 2008,b9,-0.083132,0.0026862,0.018764,2456.9,-52.861,0.82907,1555.2,1.575e+05,-37.023,-3.3757e-11,-inf,0.10291,0.087533,-64.898,-196.69,0.83543,0.82907,0.98694,0.96083,0.01176,0.0096661,4,4,1.0931,0.78884,0.30428,15,0,3,0,0,0,0.76864,1,1,n,m,y,y,y,y,y,y,y,n,m
dri_usa_3.2Adc_d14_m53,drivers licence,US,3.2,Adopter characteristics,% of age cohort 18 yrs in 2019 holding a drivers licence,% of 18yr olds in 2019,b9,0.33682,0.005666,0.050773,2016.7,13.047,0.89938,1554.1,1.5762e+05,-101.89,1,1,1.4721e-10,1.2837e-10,-117.39,-inf,0.69071,0.68779,0.99516,-inf,0.0044184,0.0040907,3,3,0.85655,0.68491,0.17163,4,0,2,0,0,0,0.65577,1,1,y,n,y,y,y,y,m,m,y,n,n
dri_usa_3.2Adc_d32_m42,drivers licence,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of 16yr olds,b9,-0.064251,-0.014538,-0.0054538,2020.3,-68.395,0.50181,2.9568,1855.2,11.278,0.96405,0.93709,0.017743,0.012073,0.9016,0.86224,0.029354,0.021859,0.93324,0.90654,0.024179,0.016733,8,8,0.92067,0.49596,0.42471,45,6,0,1,0,0,0.86819,1,1,y,y,y,y,y,y,y,y,y,y,y
dri_usa_3.2Adc_d32_m43,drivers licence,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of 17yr olds,b9,-0.0092333,-0.0092314,-0.0048884,1079.4,-475.94,2646.7,5.4514,1749.2,10.321,0.62644,0.34627,0.063041,0.041381,0.62644,0.47702,0.063041,0.04138,0.61712,0.46397,0.063822,0.042372,8,8,0.00026221,0.00016235,9.9859e-05,45,7,0,0,0,0,0.83987,1,1,m,y,y,y,y,y,y,m,y,m,y
dri_usa_3.2Adc_d32_m49,drivers licence,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of 18yr olds,b9,-0.0063183,-0.006307,-0.0042911,999.68,-695.51,380.35,0.1967,2197.4,9.2692,0.70609,0.48566,0.045922,0.032018,0.70609,0.58853,0.045922,0.032018,0.7051,0.58714,0.046,0.032109,8,8,0.0021138,0.0015249,0.00058893,45,6,1,1,0,0,0.85988,1,1,y,y,y,y,y,y,y,m,y,m,y
dri_usa_3.2Adc_d32_m54,drivers licence,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of 19yr olds,b9,0.01868,-0.0050108,-0.0038449,279.48,235.25,0.7637,0.89527,1969.6,8.4612,-6.2624e-11,-0.75,0.067791,0.056688,0.88313,0.83639,0.023175,0.018139,0.88384,0.83737,0.023105,0.01725,8,8,1.1431,0.88647,0.25665,45,6,1,1,0,0,0.87098,1,1,n,y,y,y,y,y,y,y,y,n,y
dri_usa_3.2Adc_d32_m55,drivers licence,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of 20-24 yr olds,b9,-0.008377,-0.0038488,-0.0032878,2020,-524.58,1.5833,0.29216,2279.2,7.4332,0.9621,0.93367,0.010817,0.0098363,0.96158,0.94622,0.01089,0.0096286,0.96213,0.94698,0.010813,0.0097805,8,8,0.58801,0.48656,0.10146,45,7,0,0,0,0,0.87402,1,1,y,y,y,y,y,y,y,m,y,m,y
dri_usa_3.2Adc_d32_m56,drivers licence,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of 25-29 yr olds,b9,-0.0033617,-0.0033574,-0.0030565,6.8963,-1307.2,746.17,0.37602,2265.6,7.0316,0.80959,0.66677,0.024635,0.022763,0.80959,0.73343,0.024635,0.022763,0.80534,0.72748,0.024908,0.022991,8,8,0.0013549,0.0011244,0.00023051,45,7,1,0,0,0,0.86353,0,1,y,y,y,y,y,y,y,m,y,m,y
dri_usa_3.2Adc_d32_m57,drivers licence,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of <=19 yr olds,b9,-0.075899,0.00033889,-0.0063917,2024.5,-57.899,0.67678,1555.5,1.5742e+05,13.326,0.59835,0.29712,0.092151,0.083982,-13.3,-19.019,0.54985,0.53027,0.5309,0.34326,0.09959,0.090787,8,8,1.1821,0.48908,0.69299,45,5,1,1,0,0,0.85176,1,1,m,y,y,y,y,y,y,y,y,m,y
dri_usa_3.2Adc_d33_m65,drivers licence,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by gender",% of female population,b9,-0.01787,0.0013376,0.0043526,4076.9,-245.91,0.79508,1555.3,1.5741e+05,-7.8775,-5.2731e-12,-0.053571,0.085541,0.069542,-86.392,-89.459,0.79967,0.79508,0.77652,0.76868,0.040438,0.03566,60,60,1.1054,0.72255,0.38288,60,0,59,0,0,0,0.98557,1,1,n,y,y,y,y,y,y,y,y,n,y
dri_usa_3.2Adc_d33_m70,drivers licence,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by gender",% of male population,b9,-0.018262,0.00073866,-0.001779,2111.9,-240.63,1.0557,1555.5,1.5739e+05,4.4893,0.91468,0.91011,0.0094831,0.0075253,-846.62,-876.37,0.94522,0.94466,0.90049,0.897,0.010242,0.0078867,60,60,0.93901,0.83772,0.10128,60,55,8,0,1,0,0.98349,1,1,y,y,y,y,y,y,y,m,y,m,y
dri_usa_4.1Kso_d213_m100,drivers licence,US,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b9,0.26977,0.085238,4.9335,2012.7,16.29,93.935,0.18691,1949.4,-9884.6,0.95274,0.9444,6.5953,5.5158,0.87577,0.86196,10.694,8.732,0.96958,0.9662,5.2912,4.1063,21,20,1.0646,0.0020874,1.0625,20,0,19,0,0,1,0.9275,0,1,y,y,y,y,y,y,y,y,y,y,y
dri_usa_4.2Kme_d143_m14,drivers licence,US,4.2,Knowledge Flows (Mass Media),"Number of times ""Drivers license"" appears in books",# mentions,b9,0.0082801,0.0053216,1.153e-10,1978.5,530.72,1.3924e-08,0.00284,10704,-2.2142e-07,0.21102,0.16875,2.4967e-09,1.9773e-09,-5.6728,-5.9069,7.2609e-09,6.6948e-09,0.5046,0.48721,1.9784e-09,1.621e-09,60,60,1,0.25027,0.74973,60,5,57,0,0,0,0.97105,1,1,n,y,y,y,y,y,y,y,y,n,y
dri_usa_4.3Com_d211_m124,drivers licence,US,4.3,Compatibility,Vehicle Miles of Travel (VMT),billions,b9,0.061538,0.021592,43977,1983.1,71.41,3.58e+06,72.209,1518.7,-8.5428e+07,0.99232,0.99199,83262,60841,0.91945,0.91718,2.6959e+05,2.2558e+05,0.97795,0.97733,1.4105e+05,1.1323e+05,74,74,0.91523,0.11857,0.79666,74,3,73,0,0,0,0.9836,0,0,y,y,y,y,y,y,y,y,y,y,y
dri_usa_4.5Inf_d199_m141,drivers licence,US,4.5,Infrastructure Dependence,Total public road mileage,million miles,b9,0.028898,0.0028307,10974,1906.2,152.07,4.2889e+06,5876.3,-303.82,-1.7949e+07,0.95943,0.95769,49027,42656,0.91838,0.91608,69538,55072,0.92738,0.92534,65590,52791,74,74,0.98333,0.77245,0.21088,74,0,72,0,0,0,0.98682,0,0,y,y,y,y,y,y,y,y,y,y,y
dri_was_1.1Ado_d30_m72,drivers licence,Washington DC,1.1,Adoption over time,% of population (residents) holding a drivers licence,% of population,b9,0.021512,0.0084288,0.0047707,1967.4,204.28,0.9463,0.60916,1997.5,-8.9128,0.86167,0.85574,0.040849,0.033401,0.85108,0.84689,0.042383,0.03442,0.86085,0.85693,0.040971,0.033156,74,74,0.8205,0.39726,0.42324,74,2,73,0,0,0,0.98402,1,1,y,y,y,y,y,y,y,y,y,y,y
dri_was_3.2Adc_d32_m55,drivers licence,Washington DC,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of 20-24 yr olds,b9,-0.051167,-0.00121,-0.023009,1756.8,-85.885,1.8549e+05,-1544.4,-1.5267e+05,46.743,0.98882,0.95526,0.022825,0.021204,-3.7241,-8.4481,0.46909,0.41649,0.94381,0.88763,0.051158,0.042152,5,5,4.4391e-06,1.3428e-06,3.0962e-06,25,4,1,0,0,0,0.58555,1,1,y,m,y,y,y,y,m,m,y,m,m
dri_was_3.2Adc_d32_m57,drivers licence,Washington DC,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of <=19 yr olds,b9,-0.14227,-0.053496,-0.012033,1912.6,-30.888,61328,-1544.9,-1.5262e+05,24.32,0.9963,0.98519,0.0072609,0.006048,-0.59679,-2.1936,0.15078,0.092178,0.84453,0.68906,0.047048,0.034591,5,5,5.3417e-06,2.5565e-07,5.0861e-06,25,4,1,0,0,1,0.22605,1,1,y,m,y,y,y,y,m,m,y,m,m
dri_was_3.2Adc_d33_m65,drivers licence,Washington DC,3.2,Adopter characteristics,"% of population holding a drivers licence, by gender",% of female population,b9,0.011993,0.011992,0.0092807,2826.9,366.42,14289,0.12661,1856.8,-17.853,0.79296,0.17183,0.043915,0.040946,0.79296,0.58592,0.043915,0.040946,0.76787,0.53575,0.046499,0.042484,5,5,6.8512e-05,5.0508e-05,1.8004e-05,25,0,3,0,1,0,0.78303,1,1,y,m,y,y,y,y,y,m,y,m,m
dri_was_3.2Adc_d33_m70,drivers licence,Washington DC,3.2,Adopter characteristics,"% of population holding a drivers licence, by gender",% of male population,b9,0.0036751,0.0036734,0.0032036,4084.1,1195.7,1837.5,3.3454,2367.8,-5.5396,0.26003,-1.9599,0.050012,0.040584,0.26003,-0.47993,0.050011,0.040583,0.25214,-0.49572,0.050278,0.040739,5,5,0.00052215,0.00043565,8.65e-05,25,2,3,1,1,0,0.78495,1,1,n,m,y,y,y,y,y,m,m,n,m
eat_ger_1.1Ado_d223_m137,eating less meat,Germany,1.1,Adoption over time,per capita beef consumption,Kg/yr,b1,-0.016669,-0.015487,-0.27021,1836.6,-263.63,263.63,29.297,1961.8,557.07,0.77941,0.76562,2.1865,1.8671,0.77934,0.77034,2.1868,1.8675,0.75887,0.74903,2.286,1.9144,52,52,0.090152,0.040412,0.049741,52,43,20,1,1,0,0.97773,0,1,y,y,y,y,y,y,y,m,y,m,y
eat_ger_1.1Ado_d224_m137,eating less meat,Germany,1.1,Adoption over time,per capita other meat consumption,kg/yr,b1,0.076643,0.0119,0.02374,1976.7,57.336,2.314,2.077,2010.8,-45.618,0.22412,0.17563,0.73971,0.52229,0.15947,0.12517,0.76991,0.52207,0.18001,0.14654,0.76044,0.50662,52,52,2.0649,0.33707,1.7278,52,20,2,1,0,1,0.95479,0,1,n,y,y,y,y,y,y,y,m,n,m
eat_ger_1.1Ado_d225_m137,eating less meat,Germany,1.1,Adoption over time,per capita pig consumption,Kg/yr,b1,-0.15753,-0.0026266,-0.15112,2027.8,-27.897,56.516,95.866,1779.2,355.92,0.44762,0.4131,3.9354,3.0242,0.17336,0.13962,4.8143,3.7923,0.18348,0.15015,4.7847,3.7803,52,52,1.1345,0.76545,0.36904,52,34,0,1,0,0,0.98671,0,1,m,y,y,y,y,y,y,y,m,m,m
eat_ger_1.1Ado_d226_m137,eating less meat,Germany,1.1,Adoption over time,per capita poultry consumption,kg/yr,b1,0.029423,0.017508,0.22725,2012.5,149.35,33.806,8.2314,1971.5,-440.53,0.96295,0.96064,0.67096,0.53752,0.95683,0.95506,0.72434,0.54523,0.95726,0.95551,0.72073,0.60202,52,52,0.53866,0.22287,0.31579,52,3,51,0,0,0,0.97924,0,1,y,y,y,y,y,y,y,y,y,y,y
eat_ger_1.1Ado_d227_m137,eating less meat,Germany,1.1,Adoption over time,per capita sheep & goat consumption,Kg/yr,b1,0.34938,0.003806,0.0036171,1971.6,12.578,0.90247,0.41448,1808.1,-6.3711,0.71443,0.69658,0.080964,0.065322,0.11439,0.07824,0.14258,0.11498,0.12839,0.092813,0.14145,0.11522,52,52,1.1934,0.44905,0.7443,52,25,50,1,0,0,0.98727,0,1,y,y,y,y,y,y,y,y,m,y,m
eat_ger_1.1Ado_d228_m137,eating less meat,Germany,1.1,Adoption over time,per capita total meat consumption,kg/yr,b1,-0.097442,-0.0018464,-0.16673,2040.2,-45.098,90.439,149.99,1705.1,420.48,0.30356,0.26003,4.8462,3.9859,0.18051,0.14707,5.2569,4.273,0.18567,0.15243,5.2404,4.2576,52,52,1.1023,0.84687,0.25541,52,34,0,1,0,0,0.98478,0,1,m,y,y,y,y,y,y,y,m,m,m
eat_ger_1.1Ado_d37_m38,eating less meat,Germany,1.1,Adoption over time,% poultry+pig in total meat consumption,% kg/yr,b1,0.053938,0.0030404,0.0023733,1941.1,81.473,0.82092,0.13351,1420.6,-3.9684,0.88332,0.87602,0.013738,0.010647,0.77124,0.7619,0.019236,0.015408,0.78436,0.77556,0.018676,0.014878,52,52,1.0044,0.82465,0.17975,52,16,51,1,0,0,0.98219,1,1,y,y,y,y,y,y,y,m,y,m,y
eat_ger_1.1Ado_d38_m38,eating less meat,Germany,1.1,Adoption over time,% red in total meat consumption,% kg/yr,b1,-0.010721,0.00075227,-0.0023733,1032,-409.88,7031.2,1555.1,1.5743e+05,4.9684,0.82404,0.81304,0.016871,0.013012,-33.426,-34.831,0.23598,0.23252,0.78436,0.77556,0.018676,0.014878,52,52,4.5942e-05,2.4956e-05,2.0987e-05,52,51,16,0,1,0,0.9741,1,1,y,y,y,y,y,y,y,m,y,m,y
eat_ger_2.4Eas_d210_m103,eating less meat,Germany,2.4,Ease of Use,Vegetable consumption per capita,Kg/year,b1,0.020219,0.020219,1.7021,2568.8,217.34,9.4933e+06,5.1849,1855.6,-3304.4,0.84701,0.83745,11.328,7.7712,0.84701,0.84076,11.328,7.7712,0.778,0.76894,13.646,9.8744,52,52,2.1171e-05,6.2603e-06,1.491e-05,52,0,50,0,0,0,0.94921,0,0,y,y,y,y,y,y,y,m,y,m,y
eat_ger_3.5Mar_d128_m8,eating less meat,Germany,3.5,Market Formation,NewStartups (meat substitutes),# companies,b1,1.1631,0.0038848,0.030567,2014.3,3.7782,1.3507,1554.5,1.5752e+05,-60.861,0.35558,0.30842,0.69778,0.27636,-0.14706,-0.20168,0.93095,0.33333,0.20857,0.17088,0.77328,0.44658,45,9,3.7019,0.74038,2.9615,14,3,13,1,0,1,0.51282,0,1,m,y,y,m,m,m,m,y,m,m,m
eat_ger_3.5Mar_d173_m11,eating less meat,Germany,3.5,Market Formation,PrivateEquityDeals (meat substitutes),# deals,b1,12.437,0.30939,0.036759,2020.1,0.35333,3,0.0012615,1998,-73.28,0.91584,0.90968,0.2582,0.066667,0.84493,0.83754,0.35048,0.15313,0.28772,0.25381,0.75113,0.51395,45,6,1.3333,0.33333,1,9,0,8,0,0,1,0.65,0,1,y,y,y,y,y,y,m,y,m,m,m
eat_ger_3.5Mar_d177_m27,eating less meat,Germany,3.5,Market Formation,PrivateEquityInvestment (meat substitutes),$ million,b1,1.2812,1.2812,0.093166,2033.1,3.4299,2.6448e+06,5.8587,2023,-185.78,0.97063,0.96849,0.57082,0.15426,0.97063,0.96924,0.57082,0.15425,0.13194,0.090605,3.1035,1.4423,45,4,8.297e-06,1.208e-06,7.089e-06,4,0,3,0,0,1,0.23191,0,1,y,n,m,m,y,m,m,m,m,n,n
eat_ger_3.5Mar_d202_m27,eating less meat,Germany,3.5,Market Formation,TotalFundraisingAmount (meat substitutes),$ million,b1,1.1308,1.1297,0.13778,2032.3,3.8862,2.5284e+05,6.445,2022.9,-274.63,0.51464,0.47912,3.0767,0.60504,0.51464,0.49152,3.0767,0.60506,0.16416,0.12436,4.0375,2.1522,45,5,8.679e-05,1.3069e-05,7.3721e-05,7,0,3,0,1,1,0.14376,0,1,m,n,y,m,y,m,m,m,m,n,n
eat_ger_3.5Mar_d206_m11,eating less meat,Germany,3.5,Market Formation,TotalFundraisingDeals (meat substitutes),# deals,b1,31.966,0.19841,0.062319,2020,0.13747,4.25,6.3512,2025.2,-124.21,0.83048,0.81808,0.55277,0.18889,0.75533,0.74367,0.66409,0.3088,0.36341,0.3331,1.0712,0.78911,45,8,1.4118,0.23529,1.1765,10,3,9,1,0,1,0.69474,0,1,y,y,y,m,y,m,m,y,y,m,m
eat_ger_3.5Mar_d76_m128,eating less meat,Germany,3.5,Market Formation,CumulativeStartups (meat substitutes),cum. # companies,b1,0.57914,0.026564,0.2693,2017.7,7.5879,16.043,1549.6,1.58e+05,-536.63,0.99048,0.98978,0.47125,0.23491,-0.27044,-0.33094,5.4426,2.5111,0.52462,0.50198,3.3293,2.7545,45,16,0.935,0.062334,0.87267,16,2,15,1,0,0,0.90098,0,1,y,y,y,y,y,y,y,y,y,y,y
eat_ger_4.1Kso_d213_m100,eating less meat,Germany,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b1,0.30284,0.12179,5.3234,2016.4,14.511,103.74,0.15016,1969.8,-10681,0.96968,0.96432,5.7925,4.1014,0.91235,0.90261,9.8478,8.5209,0.93911,0.93235,8.2078,6.4576,21,20,0.96392,0.0108,0.95312,21,2,17,0,1,1,0.90743,0,1,y,y,y,y,y,y,y,y,y,y,y
eat_ger_4.5Inf_d120_m103,eating less meat,Germany,4.5,Physical Infrastructure Dependence,Meat supply/person,Kg/year,b1,-0.097436,-0.0018463,-0.16671,2040.2,-45.101,90.439,149.59,1706.6,420.45,0.30366,0.26014,4.8447,3.9842,0.18057,0.14712,5.2555,4.2722,0.18573,0.15249,5.239,4.2568,52,52,1.1022,0.84687,0.2553,52,34,0,1,0,0,0.98478,0,1,m,y,y,y,y,y,y,y,m,m,m
eat_glo_3.3Leg_d235_m20,eating less meat,Global,3.3,Risk & Uncertainty (Shared Expectations),scientific publications,# publications,b1,0.093659,0.061617,756.3,2018.9,46.92,70540,0.028311,1791.5,-1.4968e+06,0.98294,0.98193,1695.9,993.84,0.97162,0.97053,2187.1,1384.2,0.8552,0.84964,4940.1,4151.5,55,55,0.62077,0.0057556,0.61501,55,2,54,0,0,0,0.96493,0,0,y,y,y,y,y,y,y,y,y,y,y
eat_glo_3.5Mar_d128_m8,eating less meat,Global,3.5,Market Formation,NewStartups (meat substitutes),# companies,b1,1.2908,0.088697,0.62543,2015.5,3.4044,30.512,10.216,2011.5,-1244.9,0.64767,0.62189,8.0005,4.1762,0.43768,0.41091,10.107,5.7453,0.36316,0.33283,10.756,7.4918,45,31,1.8026,0.032774,1.7698,42,4,41,0,0,1,0.92977,0,1,m,y,y,m,m,m,y,y,y,m,m
