Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae
dri_usa_3.2Adc_d33_m64,drivers license,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by gender",% of female population,b9,0.088026,0.0013376,0.0043526,1956.3,49.922,0.86957,1555.3,1.5741e+05,-7.8775,0.99121,0.99073,0.0080218,0.0063718,-86.392,-89.459,0.79967,0.79508,0.77652,0.76868,0.040438,0.03566
dri_usa_3.2Adc_d33_m69,drivers license,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by gender",% of male population,b9,-0.01826,0.00073866,-0.001779,2111.9,-240.66,1.0557,1555.5,1.5739e+05,4.4893,0.91468,0.91011,0.0094831,0.0075252,-846.62,-876.37,0.94522,0.94466,0.90049,0.897,0.010242,0.0078867
dri_usa_4.2Kme_d144_m14,drivers license,US,4.2,Knowledge Flows (Mass Media),"Number of times ""Drivers license"" appears in books",# mentions,b9,-0.016489,0.0053216,1.153e-10,2054.3,-266.52,8.2024e-09,0.00284,10704,-2.2142e-07,-0.25052,-0.31751,3.1433e-09,2.3059e-09,-5.6728,-5.9069,7.2609e-09,6.6948e-09,0.5046,0.48721,1.9784e-09,1.621e-09
dri_usa_4.3Com_d207_m121,drivers license,US,4.3,Compatibility,Vehicle Miles of Travel (VMT),billions,b9,0.061538,0.021592,43977,1983.1,71.41,3.58e+06,72.209,1518.7,-8.5428e+07,0.99232,0.99199,83262,60841,0.91945,0.91718,2.6959e+05,2.2558e+05,0.97795,0.97733,1.4105e+05,1.1323e+05
dri_usa_4.5Inf_d195_m140,drivers license,US,4.5,Infrastructure Dependence,Total public road mileage,million miles,b9,0.028897,0.0028307,10974,1906.2,152.07,4.2889e+06,5876.3,-303.82,-1.7949e+07,0.95943,0.95769,49027,42657,0.91838,0.91608,69538,55072,0.92738,0.92534,65590,52791
dri_was_1.1Ado_d30_m71,drivers license,Washington DC,1.1,Adoption over time,% of population (residents) holding a drivers licence,% of population,b9,0.021512,0.0084288,0.0047707,1967.4,204.28,0.9463,0.60916,1997.5,-8.9128,0.86167,0.85574,0.040849,0.033401,0.85108,0.84689,0.042383,0.03442,0.86085,0.85693,0.040971,0.033156
dri_was_3.2Adc_d32_m54,drivers license,Washington DC,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of 20-24 yr olds,b9,-0.051167,-0.00121,-0.023009,1760.2,-85.884,1.5596e+05,-1544.4,-1.5267e+05,46.743,0.98882,0.95526,0.022825,0.021204,-3.7241,-8.4481,0.46909,0.41649,0.94381,0.88763,0.051158,0.042152
dri_was_3.2Adc_d32_m56,drivers license,Washington DC,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of <=19 yr olds,b9,-0.14227,-0.053496,-0.012033,1910.8,-30.888,79346,-1544.9,-1.5262e+05,24.32,0.9963,0.98519,0.0072609,0.0060476,-0.59679,-2.1936,0.15078,0.092178,0.84453,0.68906,0.047048,0.034591
dri_was_3.2Adc_d33_m64,drivers license,Washington DC,3.2,Adopter characteristics,"% of population holding a drivers licence, by gender",% of female population,b9,0.011993,0.011992,0.0092807,2824.5,366.42,13893,0.12661,1856.8,-17.853,0.79296,0.17183,0.043915,0.040946,0.79296,0.58592,0.043915,0.040946,0.76787,0.53575,0.046499,0.042484
dri_was_3.2Adc_d33_m69,drivers license,Washington DC,3.2,Adopter characteristics,"% of population holding a drivers licence, by gender",% of male population,b9,0.0036752,0.0036734,0.0032036,4070.6,1195.7,1749.1,3.3454,2367.8,-5.5396,0.26003,-1.9599,0.050012,0.040584,0.26003,-0.47993,0.050011,0.040583,0.25214,-0.49572,0.050278,0.040739
eat_ger_1.1Ado_d218_m136,Eating less meat,Germany,1.1,Adoption over time,per capita beef consumption,Kg/yr,b1,-0.016673,-0.015487,-0.27021,1836.8,-263.57,262.84,29.297,1961.8,557.07,0.77941,0.76562,2.1865,1.8671,0.77934,0.77034,2.1868,1.8675,0.75887,0.74903,2.286,1.9144
eat_ger_1.1Ado_d219_m136,Eating less meat,Germany,1.1,Adoption over time,per capita other meat consumption,kg/yr,b1,0.076638,0.0119,0.02374,1976.7,57.34,2.3141,2.077,2010.8,-45.618,0.22412,0.17563,0.73971,0.52228,0.15947,0.12517,0.76991,0.52207,0.18001,0.14654,0.76044,0.50662
eat_ger_1.1Ado_d220_m136,Eating less meat,Germany,1.1,Adoption over time,per capita pig consumption,Kg/yr,b1,-0.15752,-0.0026266,-0.15112,2027.8,-27.897,56.516,95.866,1779.2,355.92,0.44762,0.4131,3.9354,3.0242,0.17336,0.13962,4.8143,3.7923,0.18348,0.15015,4.7847,3.7803
eat_ger_1.1Ado_d221_m136,Eating less meat,Germany,1.1,Adoption over time,per capita poultry consumption,kg/yr,b1,0.029422,0.017508,0.22725,2012.5,149.36,33.807,8.2314,1971.5,-440.53,0.96295,0.96064,0.67096,0.53752,0.95683,0.95506,0.72434,0.54523,0.95726,0.95551,0.72073,0.60202
eat_ger_1.1Ado_d222_m136,Eating less meat,Germany,1.1,Adoption over time,per capita sheep & goat consumption,Kg/yr,b1,0.34939,0.003806,0.0036171,1971.6,12.578,0.90247,0.41448,1808.1,-6.3711,0.71443,0.69658,0.080964,0.065322,0.11439,0.07824,0.14258,0.11498,0.12839,0.092813,0.14145,0.11522
eat_ger_1.1Ado_d223_m136,Eating less meat,Germany,1.1,Adoption over time,per capita total meat consumption,kg/yr,b1,-27.046,-0.0018464,-0.16673,2029.1,-0.16248,87.779,149.99,1705.1,420.48,-2.5041e-10,-0.0625,5.8071,4.5999,0.18051,0.14707,5.2569,4.273,0.18567,0.15243,5.2404,4.2576
eat_ger_1.1Ado_d37_m37,Eating less meat,Germany,1.1,Adoption over time,% poultry+pig in total meat consumption,% kg/yr,b1,0.053938,0.0030404,0.0023733,1941.1,81.472,0.82092,0.13351,1420.6,-3.9684,0.88332,0.87602,0.013738,0.010647,0.77124,0.7619,0.019236,0.015408,0.78436,0.77556,0.018676,0.014878
eat_ger_1.1Ado_d38_m37,Eating less meat,Germany,1.1,Adoption over time,% red in total meat consumption,% kg/yr,b1,-0.010721,0.00075227,-0.0023733,1031.8,-409.88,7039.4,1555.1,1.5743e+05,4.9684,0.82404,0.81304,0.016871,0.013012,-33.426,-34.831,0.23598,0.23252,0.78436,0.77556,0.018676,0.014878
eat_ger_2.4Eas_d206_m100,Eating less meat,Germany,2.4,Ease of Use,Vegetable consumption per capita,Kg/year,b1,0.020219,0.020219,1.7021,2567.5,217.34,9.2479e+06,5.1849,1855.6,-3304.4,0.84701,0.83745,11.328,7.7712,0.84701,0.84076,11.328,7.7712,0.778,0.76894,13.646,9.8744
eat_ger_4.5Inf_d121_m100,Eating less meat,Germany,4.5,Physical Infrastructure Dependence,Meat supply/person,Kg/year,b1,-27.964,-0.0018463,-0.16671,2029.1,-0.15715,87.779,149.59,1706.6,420.45,-2.1113e-11,-0.0625,5.8058,4.599,0.18057,0.14712,5.2555,4.2722,0.18573,0.15249,5.239,4.2568
eat_glo_3.3Leg_d230_m21,eating less meat,Global,3.3,Risk & Uncertainty (Shared Expectations),scientific publications,# publications,b1,0.11451,0.07563,80.6,2019.9,38.376,7955.4,0.027319,1863,-1.5969e+05,0.11376,0.11369,3983.7,1629.7,0.11262,0.11256,3986.3,1673.2,0.09142,0.091367,4033.7,1851.6
eat_glo_3.5Mar_d129_m8,eating less meat,Global,3.5,Market Formation,NewStartups (meat substitutes),# companies,b1,1.2908,0.088697,0.62543,2015.5,3.4044,30.511,10.216,2011.5,-1244.9,0.64767,0.62189,8.0005,4.1762,0.43768,0.41091,10.107,5.7453,0.36316,0.33283,10.756,7.4918
eat_glo_3.5Mar_d168_m11,eating less meat,Global,3.5,Market Formation,PrivateEquityDeals (meat substitutes),# deals,b1,1.3432,0.15691,1.2393,2018.3,3.2717,77.139,3.7386,2004.1,-2469.8,0.80213,0.78765,12.105,4.2163,0.62766,0.60993,16.605,7.8075,0.34979,0.31883,21.943,15.27
eat_glo_3.5Mar_d172_m28,eating less meat,Global,3.5,Market Formation,PrivateEquityInvestment (meat substitutes),$ million,b1,,0.14341,16.609,,,,0.0057111,1939.4,-33100,,,,,0.42131,0.39375,329.24,153.09,0.24839,0.2126,375.22,225.93
eat_glo_3.5Mar_d198_m28,eating less meat,Global,3.5,Market Formation,TotalFundraisingAmount (meat substitutes),$ million,b1,0.43556,0.10196,27.56,2014.6,10.089,1277.9,0.010442,1908.1,-54894,0.52615,0.49148,422.52,210.05,0.4306,0.40349,463.17,288.76,0.34005,0.30862,498.64,369.31
eat_glo_3.5Mar_d202_m11,eating less meat,Global,3.5,Market Formation,TotalFundraisingDeals (meat substitutes),# deals,b1,1.2659,0.15022,1.6888,2018,3.4715,101.75,0.62776,1989.5,-3365.3,0.80967,0.79574,15.846,5.757,0.63389,0.61645,21.978,10.878,0.36461,0.33436,28.953,20.499
eat_glo_3.5Mar_d75_m125,eating less meat,Global,3.5,Market Formation,CumulativeStartups (meat substitutes),cum. # companies,b1,0.32244,0.15475,5.4667,2019.6,13.629,433.4,0.0081602,1954.5,-10884,0.97802,0.97641,13.929,11.882,0.9637,0.96197,17.899,11.575,0.57108,0.55066,61.529,49.616
eat_ind_1.1Ado_d218_m136,Eating less meat,India,1.1,Adoption over time,per capita beef consumption,Kg/yr,b1,-0.068569,-0.0018826,-0.028146,2014.5,-64.088,2.603,-1543.4,-1.5271e+05,58.102,0.71884,0.70126,0.27425,0.16952,-14.012,-14.625,2.004,1.9361,0.66707,0.65348,0.29843,0.22672
eat_ind_1.1Ado_d219_m136,Eating less meat,India,1.1,Adoption over time,per capita other meat consumption,kg/yr,b1,-10.224,-0.02025,-0.0027626,2009.2,-0.42981,0.13646,4.7438e-06,2487.9,5.6176,0.98469,0.98374,0.0071571,0.0047079,0.3981,0.37353,0.044882,0.040528,0.51368,0.49383,0.040343,0.036767
eat_ind_1.1Ado_d220_m136,Eating less meat,India,1.1,Adoption over time,per capita pig consumption,Kg/yr,b1,-0.14971,-0.0052459,-0.0022499,2020.5,-29.352,0.41359,0.26071,2063.2,4.8626,0.55064,0.52256,0.051532,0.045939,0.16784,0.13387,0.070127,0.063672,0.19295,0.16001,0.069061,0.062366
eat_ind_1.1Ado_d221_m136,Eating less meat,India,1.1,Adoption over time,per capita poultry consumption,kg/yr,b1,0.086579,0.0064102,0.057363,2020.1,50.757,6.1501,1554.2,1.5752e+05,-113.44,0.98616,0.9853,0.10914,0.067554,-1.2202,-1.3108,1.3825,1.0249,0.86091,0.85523,0.34604,0.28993
eat_ind_1.1Ado_d222_m136,Eating less meat,India,1.1,Adoption over time,per capita sheep & goat consumption,Kg/yr,b1,-0.079873,-0.0029837,-0.0019615,2039,-55.018,0.67194,0.052897,2829,4.551,0.56941,0.5425,0.030355,0.024189,0.3923,0.36749,0.036062,0.02983,0.405,0.38071,0.035683,0.029385
eat_ind_1.1Ado_d223_m136,Eating less meat,India,1.1,Adoption over time,per capita total meat consumption,kg/yr,b1,0.0055928,0.0027449,0.022242,3473.5,785.74,15803,1556.5,1.5729e+05,-40.309,0.50793,0.47718,0.33245,0.21638,-73.945,-77.004,4.1028,4.0754,0.49613,0.47556,0.33641,0.21617
eat_ind_1.1Ado_d37_m37,Eating less meat,India,1.1,Adoption over time,% poultry+pig in total meat consumption,% kg/yr,b1,0.052473,0.0020604,0.011395,2018.4,83.747,1.2774,1554.9,1.5746e+05,-22.408,0.94665,0.94331,0.041622,0.028549,-3.3607,-3.5387,0.37629,0.33034,0.90068,0.89663,0.056789,0.04913
eat_ind_1.1Ado_d38_m37,Eating less meat,India,1.1,Adoption over time,% red in total meat consumption,% kg/yr,b1,-0.077646,-0.036062,-0.011395,2012.3,-56.596,0.91215,-1544.4,-1.5261e+05,23.408,0.95416,0.9513,0.03858,0.022405,-13.81,-14.415,0.69348,0.66966,0.90068,0.89663,0.056789,0.04913
eat_ind_2.4Eas_d206_m100,Eating less meat,India,2.4,Ease of Use,Vegetable consumption per capita,Kg/year,b1,0.016109,0.016109,0.92102,2711.8,272.79,6.0305e+06,5.369,1846.9,-1777.3,0.90736,0.90157,4.5434,3.6454,0.90736,0.90358,4.5434,3.6454,0.85753,0.85171,5.6344,4.6362
eat_ind_4.5Inf_d121_m100,Eating less meat,India,4.5,Physical Infrastructure Dependence,Meat supply/person,Kg/year,b1,0.0055864,0.0027422,0.022213,3478.6,786.64,16105,1556.5,1.5729e+05,-40.251,0.5063,0.47545,0.33317,0.21663,-73.904,-76.962,4.1038,4.0763,0.49434,0.47371,0.33718,0.21637
eat_jap_1.1Ado_d218_m136,Eating less meat,Japan,1.1,Adoption over time,per capita beef consumption,Kg/yr,b1,0.1564,0.014529,0.12886,1978.4,28.097,9.6035,10.432,2017.6,-249.42,0.85775,0.84886,0.92836,0.74248,0.53895,0.52013,1.6714,1.3799,0.61731,0.60169,1.5227,1.2704
eat_jap_1.1Ado_d219_m136,Eating less meat,Japan,1.1,Adoption over time,per capita other meat consumption,kg/yr,b1,-0.093814,-0.071676,-0.031119,1967.6,-46.842,4.2039,0.72639,1983.8,62.628,0.98498,0.98404,0.064265,0.051651,0.98123,0.98047,0.071823,0.053247,0.79349,0.78506,0.23826,0.19858
eat_jap_1.1Ado_d220_m136,Eating less meat,Japan,1.1,Adoption over time,per capita pig consumption,Kg/yr,b1,0.058755,0.015572,0.26498,1979.2,74.792,23.522,6.8306,1941.3,-512.48,0.97011,0.96824,0.70471,0.55941,0.91251,0.90894,1.2056,0.93568,0.95204,0.95009,0.89258,0.70753
eat_jap_1.1Ado_d221_m136,Eating less meat,Japan,1.1,Adoption over time,per capita poultry consumption,kg/yr,b1,0.05818,0.020182,0.29304,1986.6,75.532,22.997,7.985,1969.9,-570.79,0.93134,0.92705,1.191,0.88831,0.90054,0.89648,1.4334,1.1896,0.93627,0.93367,1.1474,0.91426
eat_jap_1.1Ado_d222_m136,Eating less meat,Japan,1.1,Adoption over time,per capita sheep & goat consumption,Kg/yr,b1,-0.071999,-0.049943,-0.022683,1972.5,-61.035,2.3372,0.57941,1987,45.755,0.92941,0.92499,0.09866,0.067898,0.92156,0.91836,0.104,0.068642,0.84052,0.83401,0.14829,0.1243
eat_jap_1.1Ado_d223_m136,Eating less meat,Japan,1.1,Adoption over time,per capita total meat consumption,kg/yr,b1,0.071994,0.015427,0.63308,1977.5,61.039,52.862,6.3403,1879.4,-1224.3,0.97337,0.9717,1.5995,1.1362,0.89384,0.88951,3.1933,2.6034,0.93979,0.93733,2.405,2.0111
eat_jap_1.1Ado_d37_m37,Eating less meat,Japan,1.1,Adoption over time,% poultry+pig in total meat consumption,% kg/yr,b1,0.0025222,0.0011112,0.0019324,4337.9,1742.3,283.49,1555.3,1.5741e+05,-3.0873,0.60368,0.57891,0.023508,0.019095,-423.95,-441.3,0.76976,0.76886,0.60324,0.58705,0.023521,0.01914
eat_jap_1.1Ado_d38_m37,Eating less meat,Japan,1.1,Adoption over time,% red in total meat consumption,% kg/yr,b1,-0.019412,-0.0083265,-0.0019324,2009.4,-226.38,0.40858,0.11348,2080,4.0873,0.60172,0.57683,0.023566,0.019128,0.6004,0.58409,0.023605,0.019369,0.60324,0.58705,0.023521,0.01914
eat_jap_2.4Eas_d206_m100,Eating less meat,Japan,2.4,Ease of Use,Vegetable consumption per capita,Kg/year,b1,-0.0023218,-0.0023208,-0.26281,-1311.6,-1892.7,2.5032e+05,207.8,1743.4,640.27,0.38839,0.35016,5.0061,4.0772,0.38839,0.36343,5.0061,4.0772,0.37969,0.35437,5.0416,4.1133
eat_jap_4.5Inf_d121_m100,Eating less meat,Japan,4.5,Physical Infrastructure Dependence,Meat supply/person,Kg/year,b1,0.071993,0.015428,0.63313,1977.5,61.04,52.865,6.9457,1885.3,-1224.4,0.97336,0.9717,1.5998,1.1375,0.89383,0.8895,3.1938,2.6038,0.93978,0.93732,2.4054,2.0108
eat_uki_1.1Ado_d218_m136,Eating less meat,United Kingdom,1.1,Adoption over time,per capita beef consumption,Kg/yr,b1,-0.0056964,-0.0056956,-0.11265,456.42,-771.44,1.307e+05,28.656,1935.4,245.23,0.48021,0.44772,1.7876,1.3375,0.48021,0.45899,1.7876,1.3375,0.46498,0.44315,1.8136,1.3623
eat_uki_1.1Ado_d219_m136,Eating less meat,United Kingdom,1.1,Adoption over time,per capita other meat consumption,kg/yr,b1,0.053533,0.0028923,0.020179,2042.9,82.089,5.9009,1554.8,1.5746e+05,-39.704,0.61,0.58563,0.27535,0.22242,-1.626,-1.7332,0.71449,0.56222,0.47179,0.45023,0.32045,0.2587
eat_uki_1.1Ado_d220_m136,Eating less meat,United Kingdom,1.1,Adoption over time,per capita pig consumption,Kg/yr,b1,-0.00080722,-0.00080284,-0.020233,-4440.3,-5443.9,4653.2,40.683,1421.2,66.03,0.078296,0.020689,1.0512,0.8221,0.078303,0.040683,1.0512,0.82209,0.076919,0.039242,1.0519,0.8219
eat_uki_1.1Ado_d221_m136,Eating less meat,United Kingdom,1.1,Adoption over time,per capita poultry consumption,kg/yr,b1,0.07404,0.021026,0.51647,1985.5,59.352,36.079,5.8645,1932.4,-1007.5,0.96062,0.95815,1.5891,1.4173,0.88601,0.88136,2.7035,2.3784,0.93705,0.93448,2.009,1.7471
eat_uki_1.1Ado_d222_m136,Eating less meat,United Kingdom,1.1,Adoption over time,per capita sheep & goat consumption,Kg/yr,b1,-0.030543,-0.014031,-0.090678,1999,-143.88,12.174,5.292,2007.4,187.34,0.8638,0.85529,0.539,0.42473,0.85809,0.8523,0.5502,0.46013,0.86826,0.86289,0.53011,0.42048
eat_uki_1.1Ado_d223_m136,Eating less meat,United Kingdom,1.1,Adoption over time,per capita total meat consumption,kg/yr,b1,0.0041354,0.0041322,0.31308,3726.5,1062.6,97736,20.82,1682.1,-548.59,0.74769,0.73192,2.7369,2.1484,0.7477,0.7374,2.7369,2.1484,0.74368,0.73321,2.7586,2.1832
eat_uki_1.1Ado_d37_m37,Eating less meat,United Kingdom,1.1,Adoption over time,% poultry+pig in total meat consumption,% kg/yr,b1,0.041586,0.0060389,0.0039166,1952.2,105.67,0.75656,0.1527,1759.7,-7.1787,0.91438,0.90903,0.018334,0.014826,0.8644,0.85887,0.023072,0.017446,0.88012,0.87523,0.021694,0.016436
eat_uki_1.1Ado_d38_m37,Eating less meat,United Kingdom,1.1,Adoption over time,% red in total meat consumption,% kg/yr,b1,-0.01104,0.00059214,-0.0039166,1068.3,-398.05,9990,1555.2,1.5742e+05,8.1787,0.9008,0.8946,0.019734,0.015046,-33.582,-34.993,0.36846,0.3631,0.88012,0.87523,0.021694,0.016436
eat_uki_2.4Eas_d206_m100,Eating less meat,United Kingdom,2.4,Ease of Use,Vegetable consumption per capita,Kg/year,b1,0.014386,0.014386,1.2725,2739.2,305.47,4.1468e+06,7.613,1821.1,-2443.4,0.75166,0.73613,11.419,9.0469,0.75166,0.74152,11.419,9.0466,0.6947,0.68224,12.661,9.9311
eat_uki_4.5Inf_d121_m100,Eating less meat,United Kingdom,4.5,Physical Infrastructure Dependence,Meat supply/person,Kg/year,b1,0.0041345,0.0041313,0.31301,3726.6,1062.9,97651,22.702,1703,-548.45,0.74772,0.73196,2.7361,2.1477,0.74772,0.73743,2.7361,2.1477,0.74371,0.73325,2.7578,2.1829
eat_usa_1.1Ado_d218_m136,Eating less meat,United States,1.1,Adoption over time,per capita beef consumption,Kg/yr,b1,-0.0092292,-0.0092277,-0.41287,1054.1,-476.14,2.653e+05,90.943,1918.5,869.02,0.89365,0.887,2.1469,1.6393,0.89365,0.88931,2.1469,1.6393,0.88602,0.88137,2.2225,1.6615
eat_usa_1.1Ado_d219_m136,Eating less meat,United States,1.1,Adoption over time,per capita other meat consumption,kg/yr,b1,-0.0085031,0.00028197,-0.0067266,812.11,-516.8,20204,1555.6,1.5739e+05,14.292,0.55847,0.53087,0.094059,0.082082,-37.709,-39.289,0.8807,0.86925,0.50864,0.48859,0.099225,0.086333
eat_usa_1.1Ado_d220_m136,Eating less meat,United States,1.1,Adoption over time,per capita pig consumption,Kg/yr,b1,-0.031676,-0.001455,-0.043029,2092.5,-138.73,30.92,41.833,1753.3,115.28,0.13016,0.0758,1.7144,1.3694,0.12276,0.086957,1.7217,1.3787,0.12342,0.087643,1.7211,1.378
eat_usa_1.1Ado_d221_m136,Eating less meat,United States,1.1,Adoption over time,per capita poultry consumption,kg/yr,b1,0.071971,0.017386,0.76179,1980.9,61.059,59.22,6.394,1889.9,-1478.8,0.97438,0.97278,1.8872,1.5531,0.88935,0.88483,3.9222,3.6669,0.94023,0.93779,2.8827,2.6324
eat_usa_1.1Ado_d222_m136,Eating less meat,United States,1.1,Adoption over time,per capita sheep & goat consumption,Kg/yr,b1,-0.021271,-0.021271,-0.01241,1464.2,-206.59,51943,6.1196,1889.5,25.443,0.70705,0.68874,0.12882,0.089163,0.70705,0.69509,0.12882,0.089169,0.61237,0.59655,0.14818,0.10559
eat_usa_1.1Ado_d223_m136,Eating less meat,United States,1.1,Adoption over time,per capita total meat consumption,kg/yr,b1,0.040981,0.0024172,0.28675,1926.3,107.23,125.52,37.4,1522.4,-454.77,0.61249,0.58827,3.5489,3.0052,0.56412,0.54633,3.7639,3.0661,0.56984,0.55228,3.7392,3.0505
eat_usa_1.1Ado_d37_m37,Eating less meat,United States,1.1,Adoption over time,% poultry+pig in total meat consumption,% kg/yr,b1,0.045038,0.0077143,0.0047322,1960.1,97.571,0.73931,5.5283,2284.3,-8.8434,0.94461,0.94115,0.017504,0.012082,0.89165,0.88723,0.024481,0.018745,0.9119,0.9083,0.022076,0.016528
eat_usa_1.1Ado_d38_m37,Eating less meat,United States,1.1,Adoption over time,% red in total meat consumption,% kg/yr,b1,-0.012099,0.00051081,-0.0047322,1144.4,-363.2,11677,1555.3,1.5742e+05,9.8434,0.93329,0.92912,0.01921,0.014155,-28.97,-30.193,0.40716,0.40031,0.9119,0.9083,0.022076,0.016528
eat_usa_2.4Eas_d206_m100,Eating less meat,United States,2.4,Ease of Use,Vegetable consumption per capita,Kg/year,b1,0.067306,0.003918,0.47889,1951.6,65.291,128.27,25.877,1606.5,-836.61,0.72934,0.71243,4.7764,3.7871,0.59676,0.5803,5.8301,4.7046,0.61283,0.59703,5.7128,4.6148
eat_usa_4.5Inf_d121_m100,Eating less meat,United States,4.5,Physical Infrastructure Dependence,Meat supply/person,Kg/year,b1,0.041017,0.0024167,0.28669,1926.3,107.14,125.51,34.656,1490.8,-454.66,0.61265,0.58844,3.5473,3.004,0.5642,0.54641,3.7626,3.0648,0.56992,0.55236,3.7378,3.0493
ebi_chi_1.1Ado_d192_m15,E-bikes,China,1.1,Adoption over time,Total e-bike manufacturing volumes,# million,b8,,0.014454,0.4675,,,,5.815,1899.7,-911.24,,,,,0.80734,0.711,0.45889,0.37169,0.79985,0.69977,0.46773,0.38388
ebi_chi_1.1Ado_d86_m15,E-bikes,China,1.1,Adoption over time,E-bike sales volumes,# million,b8,0.54495,0.074769,3.0129,2016,8.0639,46.449,0.50064,1961.5,-6045.8,0.76508,0.41271,2.9832,2.4456,0.67148,0.45246,3.5278,2.5902,0.69886,0.4981,3.3776,2.4617
ebi_eun_1.1Ado_d86_m23,E-bikes,EU,1.1,Adoption over time,E-bike sales volumes,# thousands,b8,0.40594,0.051256,0.54167,2018.8,10.825,6.1685,1539.5,1.5907e+05,-1090.4,0.99713,0.99541,0.075224,0.065785,-5.1391,-7.1854,3.4781,3.1822,0.99265,0.9902,0.12036,0.10605
ebi_net_1.1Ado_d119_m29,E-bikes,The Netherlands,1.1,Adoption over time,Market share,%,b8,0.18358,0.1091,4.4881,2020.1,23.937,106.16,0.1838,1968.2,-9013.6,0.97412,0.9547,1.6805,1.4544,0.96906,0.95669,1.8372,1.525,0.96922,0.9569,1.8327,1.503
ebi_net_1.1Ado_d50_m1,E-bikes,The Netherlands,1.1,Adoption over time,Annual production,#,b8,0.1868,0.11264,27568,2018.5,23.525,7.9587e+05,4.8462e-06,1795.8,-5.5253e+07,0.95215,0.94259,34149,27276,0.9351,0.92699,39771,31951,0.93549,0.92742,39653,30394
ebi_net_3.2Adc_d100_m29,E-bikes,The Netherlands,3.2,Adopter characteristics,Female>male share by age group (60-64),%,b8,,,0.2,,,,,,-384.9,,,,,,,,,1,1,1.5073e-14,1.0658e-14
ebi_net_3.2Adc_d78_m35,E-bikes,The Netherlands,3.2,Adopter characteristics,Distance share by age group (12-17),% distance,b8,0.63066,0.35516,0.0235,2020.6,6.968,0.26988,0.34679,2023.6,-47.351,0.99725,0.989,0.0036548,0.0029824,0.98291,0.96582,0.0091093,0.0080468,0.9098,0.8196,0.020928,0.0184
ebi_net_3.2Adc_d79_m35,E-bikes,The Netherlands,3.2,Adopter characteristics,Distance share by age group (60-64),% distance,b8,0.21899,0.0047602,0.0405,2023.2,20.067,1.0459,1554.2,1.576e+05,-81.457,0.87433,0.4973,0.0443,0.034044,-4.7377,-10.475,0.29933,0.272,0.84029,0.68058,0.04994,0.0376
ebi_net_3.2Adc_d80_m35,E-bikes,The Netherlands,3.2,Adopter characteristics,Distance share by age group (70+),% distance,b8,0.14426,0.0050631,0.044,2021.2,30.463,1.3275,1554.2,1.576e+05,-88.274,0.78967,0.15869,0.064559,0.05044,-13.541,-28.082,0.53679,0.518,0.78159,0.56318,0.065788,0.0496
ebi_net_3.2Adc_d99_m29,E-bikes,The Netherlands,3.2,Adopter characteristics,Female>male share by age group (50-59),%,b8,,,0.26667,,,,,,-524,,,,,,,,,1,1,3.6513e-14,3.4639e-14
ebi_net_4.5Inf_d77_m137,E-bikes,The Netherlands,4.5,Provisioning system,Development of cycling distance per person,km,b8,0.34764,0.20197,33.217,2020.6,12.641,599.65,7.3278e-05,1945.4,-66817,0.99098,0.9639,11.354,9.2025,0.97838,0.95677,17.571,15.737,0.97017,0.94035,20.641,17.032
eco_chi_1.1Ado_d115_m73,E-commerce,China,1.1,Adoption over time,Internet sales as a percentage of total retail sales (ratio) (%),% of total retail,m4,0.29464,0.10927,2.1776,2017.4,14.914,33.643,1.0203,1992,-4376.2,0.97923,0.96884,0.91577,0.72892,0.9378,0.92003,1.5847,1.298,0.96894,0.96007,1.1198,0.91224
eco_chi_2.4Eas_d160_m59,E-commerce,China,2.4,Ease of Use,Owns a credit card,% of age 15+,m4,0.14397,0.14397,2.864,2098,30.524,2.4619e+06,3.8866,2005.2,-5752.8,0.98381,-inf,1.3908,1.1937,0.98381,0.95143,1.3907,1.1936,0.93987,0.81962,2.68,2.2325
eco_chi_2.4Eas_d161_m59,E-commerce,China,2.4,Ease of Use,Owns a debit card,% of age 15+,m4,0.16164,0.061167,3.6546,2013.5,27.187,99.049,0.27472,1928.7,-7309,0.97666,-inf,2.0953,1.8653,0.95562,0.86687,2.8894,2.5022,0.9717,0.9151,2.3074,2.0056
eco_chi_2.4Eas_d45_m59,E-commerce,China,2.4,Ease of Use,Account in financial institution,% of age 15+,m4,0.26204,0.028286,2.2624,2007.4,16.77,89.722,1.6805,1880.4,-4482.7,0.93014,-inf,2.3594,2.1041,0.86149,0.58447,3.3221,2.6765,0.87925,0.63774,3.1019,2.5709
eco_chi_3.2Adc_d81_m70,E-commerce,China,3.2,Adopter characteristics,Distribution of newly added e-commerce users by generation (Gen Others),% of new online shoppers,m4,-0.087227,-0.020241,-0.225,1905.5,-50.38,58513,-1536.7,-1.5346e+05,457.24,0.36059,2.2788,0.52367,0.4925,-20.521,-inf,3.0381,2.9667,0.31477,-inf,0.54212,0.51111
